,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,1.7749822288953885,9.975929001078145,,,,,0.01963267136638447,7734
engaged_0year,0.04944739974064784,0.6670126486730695,0.0021613361100983187,0.6417812173617595,0.5210152467052912,,0.01963267136638447,7734
Multiple Engagements,-0.129612725943976,-1.1438544408635296,-0.005665346739774234,-1.1316228913965098,0.2577930118935928,,0.01963267136638447,7734
portfolio_weight,51.141297633824,2.672621580347417,2.2353760536048233,2.5412593543781625,0.01104539523257036,**,0.01963267136638447,7734
ownership_stake,-1.7188155468198352,-0.6382262308466508,-0.07512908924281134,-0.6418328662927285,0.5209817073341879,,0.01963267136638447,7734
excess_return,0.9015456209423279,0.5204806979849077,0.0394063816431965,0.5238583981030822,0.6003770320596956,,0.01963267136638447,7734
CBOARD,0.04579963201307881,0.43211644614725575,0.002001892900704131,0.4288985746983015,0.6679970375137775,,0.01963267136638447,7734
DUALCLASS,-0.19788025090226818,-0.7137160529513122,-0.008649306818833833,-0.7154315355970359,0.4743424319644933,,0.01963267136638447,7734
FAIRPRICE,0.07829707909941346,0.7816105784548522,0.0034223499164845977,0.7644128416590744,0.4446212584631749,,0.01963267136638447,7734
GPARACHUTE,0.12129399236986621,1.4247962072641243,0.005301736532598248,1.4818046136060614,0.13839229115846172,,0.01963267136638447,7734
LSPMT,0.11989283814242023,1.7075494219668044,0.005240492357101059,1.8476560633911243,0.06465211380044542,*,0.01963267136638447,7734
PPILL,-0.4624586133010011,-3.267178130969727,-0.02021397496321316,-3.1746642775004204,0.0015000995037605673,***,0.01963267136638447,7734
UNEQVOTE,0.027772169173302455,0.09611679192280423,0.0012139160482623904,0.09615962194144372,0.923393799177156,,0.01963267136638447,7734
majority_vote,0.10380138785401168,0.9823883317008624,0.004537138232220766,0.9867962659283005,0.32374252566909767,,0.01963267136638447,7734
Shareholder,-0.20399129482759448,-1.6156358313229067,-0.008916419345993621,-1.617606906778847,0.1057473396732911,,0.01963267136638447,7734
