Company Name,Ticker,Market,Multiple Engagements,Governance,Proxy Contest/M&A,Pay,ES,Letter,Comprehensive Engagement,Year,Quarter,Dissident
Treasury Wine Estates Ltd.,,Australia,0,0,,,1,0,1,2018,,
Vicinity Centres,,Australia,0,0,,,1,0,1,2018,,
Vital Healthcare Properties Trust,,Australia,0,1,,,0,0,1,2018,,
Wesfarmers Ltd.,,Australia,0,1,,,1,0,1,2018,,
Whitehaven Coal Ltd.,,Australia,0,0,,,1,0,1,2018,,
Woodside Petroleum Ltd.,,Australia,1,1,,,1,0,1,2018,,
Canadian Pacific Railway Limited,,Canada,0,1,0,1,0,,,2016,,
Atlantic Power Corporation,,Canada,1,1,0,1,0,,,2017,,
Canadian Imperial Bank Of Commerce,,Canada,0,1,0,0,0,,,2017,,
Canfor Corporation,,Canada,0,1,0,0,1,,,2017,,
Granite Real Estate Investment Trust,,Canada,0,1,1,1,0,,,2017,,FrontFour Capital Group LLC
Novagold Resources Inc.,,Canada,0,1,0,0,1,,,2017,,
Royal Bank of Canada,,Canada,0,1,0,0,1,,,2017,,
Aptose Biosciences Inc.,,Canada,0,0,,,1,1,0,2018,,
Artis Real Estate Investment Trust,,Canada,0,0,,,1,1,0,2018,,
Asanko Gold Inc.,,Canada,0,0,,,1,1,0,2018,,
Athabasca Oil Corporation,,Canada,0,0,,,1,1,0,2018,,
Atlantic Power Corporation,,Canada,0,0,,,1,0,1,2018,,
Aurinia Pharmaceuticals Inc.,,Canada,0,0,,,1,1,0,2018,,
Avigilon Corporation,,Canada,0,0,,,1,1,0,2018,,
B2Gold Corp.,,Canada,0,1,,,0,0,1,2018,,
BlackPearl Resources Inc.,,Canada,0,0,,,1,1,0,2018,,
Bonterra Energy Corp.,,Canada,0,0,,,1,1,0,2018,,
Calfrac Well Services Ltd.,,Canada,0,0,,,1,1,0,2018,,
Callidus Capital Corporation,,Canada,0,0,,,1,1,0,2018,,
Canadian Pacific Railway Limited,,Canada,0,1,,,0,0,1,2018,,
Canfor Corporation,,Canada,0,0,,,1,1,0,2018,,
Canopy Growth Corporation,,Canada,0,0,,,1,1,0,2018,,
Cara Operations Limited,,Canada,0,0,,,1,1,0,2018,,
Cardiome Pharma Corp.,,Canada,0,0,,,1,1,0,2018,,
Cargojet Inc.,,Canada,1,1,,,1,1,1,2018,,
"China Gold International Resources Corp.Ltd.",,Canada,0,0,,,1,1,0,2018,,
CNOOC Ltd.,,Canada,0,0,,,1,1,0,2018,,
Constellation Software Inc.,,Canada,0,0,,,1,1,0,2018,,
Corridor Resources Inc.,,Canada,0,0,,,1,1,0,2018,,
Crew Energy Inc.,,Canada,0,0,,,1,1,0,2018,,
Delphi Energy Corp.,,Canada,0,0,,,1,1,0,2018,,
Detour Gold Corporation,,Canada,0,1,,,0,0,1,2018,,
Dundee Corporation,,Canada,0,0,,,1,1,0,2018,,
Endeavour Silver Corp.,,Canada,0,0,,,1,1,0,2018,,
Enghouse Systems Limited,,Canada,0,0,,,1,1,0,2018,,
Equitable Group Inc.,,Canada,0,1,,,0,0,1,2018,,
Etrion Corporation,,Canada,0,0,,,1,1,0,2018,,
Evertz Technologies Limited,,Canada,0,0,,,1,1,0,2018,,
GVIC Communications,,Canada,0,0,,,1,1,0,2018,,
Imperial Metals Corporation,,Canada,0,0,,,1,1,0,2018,,
Jaguar Mining Inc.,,Canada,0,0,,,1,1,0,2018,,
Katanga Mining Limited,,Canada,0,0,,,1,1,0,2018,,
Liberty Gold Corp,,Canada,0,0,,,1,1,0,2018,,
Mega Uranium Ltd.,,Canada,0,0,,,1,1,0,2018,,
"Morguard North American Residential
Real Estate Investment Trust",,Canada,0,0,,,1,1,0,2018,,
Morguard Real Estate Investment Trust,,Canada,0,0,,,1,1,0,2018,,
NexGen Energy Ltd.,,Canada,0,0,,,1,1,0,2018,,
Norbord Inc.,,Canada,1,1,,,1,1,1,2018,,
North American Palladium Ltd.,,Canada,0,0,,,1,1,0,2018,,
Northern Dynasty Minerals Ltd,,Canada,0,0,,,1,1,0,2018,,
"NorthWest Healthcare Properties Real
Estate Investment Trust",,Canada,0,0,,,1,1,0,2018,,
NovaGold Resources Inc.,,Canada,0,1,,,0,0,1,2018,,
Pengrowth Energy Corporation,,Canada,0,0,,,1,1,0,2018,,
Peyto Exploration & Development Corp.,,Canada,0,0,,,1,1,0,2018,,
Pinetree Capital Ltd.,,Canada,0,0,,,1,1,0,2018,,
Premier Gold Mines Limited,,Canada,0,0,,,1,1,0,2018,,
Questerre Energy Corporation,,Canada,0,0,,,1,1,0,2018,,
Raging River Exploration Inc.,,Canada,0,0,,,1,1,0,2018,,
Rogers Sugar Inc.,,Canada,0,0,,,1,1,0,2018,,
Rubicon Minerals Corporation,,Canada,0,0,,,1,1,0,2018,,
Seabridge Gold Inc.,,Canada,0,0,,,1,1,0,2018,,
Secure Energy Services Inc.,,Canada,0,0,,,1,1,0,2018,,
Spartan Energy Corp,,Canada,0,0,,,1,1,0,2018,,
Summit Industrial Income REIT,,Canada,0,0,,,1,1,0,2018,,
Suncor Energy Inc.,,Canada,0,0,,,1,0,1,2018,,
Surge Energy Inc.,,Canada,0,0,,,1,1,0,2018,,
Timbercreek Financial Corp.,,Canada,0,0,,,1,1,0,2018,,
Total Energy Services Inc.,,Canada,0,0,,,1,1,0,2018,,
Touchstone Exploration Inc.,,Canada,0,0,,,1,1,0,2018,,
"Valeant Pharmaceuticals International, Inc.",,Canada,0,0,,,0,0,1,2018,,
"Westshore Terminals InvestmentCorporation",,Canada,0,0,,,1,1,0,2018,,
Yangarra Resources Ltd,,Canada,0,0,,,1,1,0,2018,,
KT Corp.,,EM- Korea,0,1,0,0,0,,,2014,,
Samsung Securities  Co. Ltd,,EM- Korea,0,1,0,0,0,,,2014,,
Samsung C&T,,EM- Korea,0,1,1,0,0,,,2015,,
Samsung Electronics,,EM- Korea,0,1,0,1,0,,,2015,,
Samsung Electronics Co. Ltd.,,EM- Korea,0,1,0,0,0,,,2017,,
KB Financial Group Inc.,,EM- Korea,0,1,,,0,0,1,2018,,
Cielo SA,,EM-Brazil,0,1,0,0,0,,,2016,,
Vale S.A.,,EM-Brazil,0,1,0,0,0,,,2017,,
Atacadão SA (Carrefour Brasil),,EM-Brazil,0,1,,,0,0,1,2018,,
Vale S.A.,,EM-Brazil,0,0,,,0,0,1,2018,,
PetroChina Company Limited,,EM-China,0,1,0,0,0,,,2014,,
"Zhejiang Expressway Co., Ltd",,EM-China,0,1,0,0,0,,,2014,,
"Beijing North Star Company, Ltd.",,EM-China,0,1,0,0,0,,,2015,,
Montage Technology Group Limited,,EM-China,0,1,1,0,0,,,2015,,
Power Assets Holdings,,EM-China,0,1,1,0,0,,,2015,,
"The Bank of East Asia, Limited",,EM-China,0,1,0,0,0,,,2015,,
MRT Corporation,,EM-China,0,1,0,0,0,,,2016,,
Ping An Insurance Group,,EM-China,0,1,0,0,0,,,2016,,
Sinopec Shanghai Petrochemical Co. Ltd.,,EM-China,0,1,0,0,0,,,2016,,
TCL Communication Technology Holdings Limited,,EM-China,0,1,0,0,0,,,2016,,
Tencent Holdings Ltd,,EM-China,0,1,0,0,0,,,2016,,
PetroChina,,EM-China,0,1,0,0,1,,,2017,,
SINA Corporation,,EM-China,0,1,0,0,0,,,2017,,
SINA Corporation,,EM-China,0,1,0,0,0,,,2017,,Aristeia Capital
ZTE Corporation,,EM-China,0,1,0,1,0,,,2017,,
Alibaba Group Holding Limited,,EM-China,0,1,,,1,0,1,2018,,
"Shanghai Electric Group Co., Ltd.",,EM-China,0,1,,,0,0,1,2018,,
"Yum China Holdings, Inc.",,EM-China,0,1,,,1,0,1,2018,,
Reliance Group,,EM-India,0,1,0,0,1,,,2014,,
Cairn Ltd.,,EM-India,0,1,1,0,0,,,2016,,
Tata Chemicals Ltd.,,EM-India,0,1,0,0,0,,,2016,,
Tata Consultancy Services,,EM-India,0,1,0,0,0,,,2016,,
Tata Global Beverages Ltd.,,EM-India,0,1,0,0,0,,,2016,,
Tata Motors Ltd.,,EM-India,0,1,0,0,0,,,2016,,
Tata Power Company Ltd.,,EM-India,0,1,0,0,0,,,2016,,
Tata Steel Ltd,,EM-India,0,1,0,0,0,,,2016,,
"The Indian Hotels Co., Ltd.",,EM-India,0,1,0,0,0,,,2016,,
Vedanta Ltd.,,EM-India,0,1,1,0,0,,,2016,,
Aditya Birla Group,,EM-India,0,0,1,0,0,,,2017,,
Samsung Electronics Co. Ltd.,,EM-Korea,1,1,0,0,1,,,2016,,
Coway Co. Ltd.,,EM-Korea,0,1,,,1,0,1,2018,,
"Coca-Cola FEMSA, S.A.B. de C.V.",,EM-Mexico,0,0,0,0,1,,,2014,,
Grupo Aeroportuario del Pacifico (GAP),,EM-Mexico,0,1,1,0,0,,,2014,,
Avago Technologies Limited,,EM-Others,0,1,0,1,0,,,2014,,
Kunlun Energy Company Limited,,EM-Others,0,1,0,0,0,,,2014,,
Sun Hung Kai Properties Limited,,EM-Others,0,1,0,0,0,,,2014,,
China Galaxy,,EM-Others,0,1,0,0,0,,,2015,,
Gome Electrical Appliances Holdings Ltd,,EM-Others,0,1,1,0,0,,,2015,,
Wumart Stores Inc.,,EM-Others,0,1,1,0,0,,,2015,,
Check Point Software Technologies Ltd.,,EM-Others,0,1,0,1,0,,,2016,,
CLP Holdings,,EM-Others,0,0,0,0,1,,,2016,,
Endesa America SA,,EM-Others,0,1,1,0,0,,,2016,,
Enersis Americas SA,,EM-Others,0,1,1,0,0,,,2016,,
Broadcom Limited,,EM-Others,0,0,,,0,0,1,2018,,
Check Point Software Technologies Ltd.,,EM-Others,0,0,,,0,0,1,2018,,
Honghua Group Limited,,EM-Others,0,1,,,1,0,1,2018,,
Samsung Electronics Co. Ltd.,,EM-Others,0,1,,,0,0,1,2018,,
Stratasys Ltd.,,EM-Others,0,1,,,0,0,1,2018,,
"TEVA- PHARMACEUTICAL INDUSTRIESLTD",,EM-Others,0,1,,,0,0,1,2018,,
Gazprom,,EM-Russia,0,1,0,0,0,,,2014,,
Norilsk Nickel,,EM-Russia,0,1,0,0,1,,,2016,,
Royal Bafokeng,,EM-South,0,0,0,0,1,,,2017,,
Coronation Fund Managers,,EM-South Africa,0,1,0,1,0,,,2017,,
Coronation Fund Managers Ltd,,EM-South Africa,1,1,,,0,0,1,2018,,
Royal Bafokeng Platinum Ltd,,EM-South Africa,0,0,,,0,0,1,2018,,
Steinhoff International Holdings N.V.,,EM-South Africa,0,1,,,0,0,1,2018,,
Taishin Financial Holding Co. Ltd.,,EM-Taiwan,0,1,1,0,1,,,2014,,
"Taiwan Life Insurance Co., Ltd.",,EM-Taiwan,0,1,1,0,0,,,2014,,
Uni-President Enterprises Corporation,,EM-Taiwan,0,1,0,0,1,,,2014,,
China Development Financial Holding Corp,,EM-Taiwan,0,1,0,0,0,,,2016,,
Taishin FHC,,EM-Taiwan,0,1,1,0,0,,,2017,,
"Taishin Financial Holding Co., Ltd.",,EM-Taiwan,0,1,,,0,0,1,2018,,
"Taishin Financial Holding Co., Ltd.",,EM-Taiwan,0,1,,,0,0,1,2018,,PJAM
Garanti Bank,,EM-Turkey,0,1,0,0,1,,,2015,,
Turkiye Garanti Bankasi A.S.,,EM-Turkey,0,0,,,1,0,1,2018,,
Stora Enso,,EU-Finland,0,0,0,0,1,,,2016,,
Yit Corporation,,EU-Finland,0,1,0,0,0,,,2017,,
Airbus Group N.V.,,EU-France,0,0,0,0,1,,,2014,,
AXA Group,,EU-France,0,1,0,0,0,,,2014,,
BNP Paribus SA,,EU-France,0,1,0,1,0,,,2014,,
Edenred S.A.,,EU-France,0,1,0,1,0,,,2014,,
Essilor International SA,,EU-France,1,1,0,1,1,,,2014,,
Fonciere des Regions,,EU-France,0,1,0,1,0,,,2014,,
Groupe Eurotunnel SA,,EU-France,0,1,0,1,1,,,2014,,
Orange,,EU-France,0,1,0,0,0,,,2014,,
Renault Société Anonyme,,EU-France,0,1,0,1,0,,,2014,,
Compagnie de Saint-Gobain S.A.,,EU-France,0,1,0,0,0,,,2014,,
Sanofi,,EU-France,1,0,0,1,0,,,2014,,
Technip SA,,EU-France,0,1,0,1,1,,,2014,,
Thales SA,,EU-France,0,1,0,0,1,,,2014,,
TOTAL S.A.,,EU-France,0,1,0,1,0,,,2014,,
Veolia Environment SA,,EU-France,0,1,0,1,0,,,2014,,
VINCI S.A.,,EU-France,0,1,0,1,0,,,2014,,
Vivendi Société Anonyme,,EU-France,0,1,0,0,0,,,2014,,
Arkema,,EU-France,0,1,1,1,0,,,2015,,
Axa,,EU-France,0,1,0,1,1,,,2015,,
BNP Paribus,,EU-France,0,1,0,1,0,,,2015,,
Capgemini,,EU-France,0,1,0,1,0,,,2015,,
Danone,,EU-France,1,1,0,1,1,,,2015,,
Essilor,,EU-France,0,1,0,1,0,,,2015,,
Orange SA,,EU-France,1,1,0,1,0,,,2015,,
Pernod Ricard,,EU-France,0,0,0,1,0,,,2015,,
Renault SA,,EU-France,0,1,0,1,0,,,2015,,
Saint-Gobain,,EU-France,0,1,1,0,1,,,2015,,
Sanofi,,EU-France,1,1,0,0,1,,,2015,,
Scor SE,,EU-France,1,1,0,1,0,,,2015,,
Technip,,EU-France,0,1,0,0,0,,,2015,,
Veolia,,EU-France,0,0,0,1,0,,,2015,,
Vivendi,,EU-France,0,1,1,0,0,,,2015,,
Vivendi ,,EU-France,0,1,1,0,0,,,2015,,PSAM
Air Liquide S.A.,,EU-France,0,1,0,1,0,,,2016,,
Arkema SA,,EU-France,0,1,0,1,0,,,2016,,
Axa,,EU-France,0,1,0,1,0,,,2016,,
BNP Paribas SA,,EU-France,0,1,0,0,0,,,2016,,
Carrefour,,EU-France,0,1,0,1,0,,,2016,,
Danone,,EU-France,0,1,0,0,1,,,2016,,
Edenred,,EU-France,0,1,0,1,0,,,2016,,
Groupe Eurotunnel SE,,EU-France,0,1,0,1,0,,,2016,,
Groupe PSA,,EU-France,0,1,0,1,0,,,2016,,
Klepierre,,EU-France,0,1,0,1,0,,,2016,,
Lagardere,,EU-France,0,1,0,0,0,,,2016,,
Pernod Ricard,,EU-France,0,1,0,0,1,,,2016,,
Renault,,EU-France,0,1,0,0,1,,,2016,,
Schneider Electric,,EU-France,0,1,0,0,1,,,2016,,
Scor SE,,EU-France,0,1,0,1,0,,,2016,,
Total SA,,EU-France,0,1,0,0,1,,,2016,,
Ubisoft Entertainment,,EU-France,0,1,0,0,0,,,2016,,
Vinci SA,,EU-France,0,1,0,1,0,,,2016,,
Air Liquide S.A.,,EU-France,0,0,0,1,0,,,2017,,
Airbus,,EU-France,0,1,0,1,1,,,2017,,
Albioma,,EU-France,0,1,0,1,0,,,2017,,
Allianz SE,,EU-France,0,0,0,0,1,,,2017,,
Arkema S.A.,,EU-France,0,1,0,1,0,,,2017,,
Atos,,EU-France,0,1,0,1,0,,,2017,,
Axa S.A.,,EU-France,0,1,0,1,1,,,2017,,
Cap Gemini,,EU-France,0,1,0,0,0,,,2017,,
Carrefour,,EU-France,0,0,0,0,1,,,2017,,
Casino Guichard Perrachon,,EU-France,0,1,0,1,0,,,2017,,
Danone,,EU-France,1,0,0,1,1,,,2017,,
Edenred SA,,EU-France,1,1,0,1,0,,,2017,,
Essilor International,,EU-France,0,1,1,1,0,,,2017,,
Fonciere des Regions,,EU-France,0,1,0,1,0,,,2017,,
L Air Liquide S.A.,,EU-France,0,0,0,1,0,,,2017,,
LafargeHolcim,,EU-France,0,1,0,1,0,,,2017,,
Lagardere SCA,,EU-France,0,0,0,1,0,,,2017,,
L'Air Liquide,,EU-France,0,1,0,1,0,,,2017,,
Mercialys,,EU-France,0,0,0,1,0,,,2017,,
Nexity,,EU-France,0,0,0,0,1,,,2017,,
Orange,,EU-France,1,1,0,1,0,,,2017,,
Publicis Groupe,,EU-France,0,0,0,1,0,,,2017,,
Renault,,EU-France,0,1,0,1,0,,,2017,,
Rexel,,EU-France,0,1,0,1,0,,,2017,,
Safran,,EU-France,0,1,0,1,0,,,2017,,
Sanofi,,EU-France,0,1,0,1,0,,,2017,,
Schneider Electric,,EU-France,0,1,0,1,1,,,2017,,
Scor Se,,EU-France,0,0,0,1,0,,,2017,,
Solvay S.A.,,EU-France,0,0,0,1,0,,,2017,,
Teleperformance S.A.,,EU-France,1,1,0,1,0,,,2017,,
Total,,EU-France,0,0,0,0,1,,,2017,,
Ubisoft Entertainment,,EU-France,1,1,0,1,0,,,2017,,
Unibail-Rodamco SE,,EU-France,0,0,0,1,1,,,2017,,
Valeo,,EU-France,0,0,0,1,0,,,2017,,
Vallourec,,EU-France,0,0,0,1,0,,,2017,,
Veolia,,EU-France,0,1,0,1,0,,,2017,,
Vinci,,EU-France,0,1,0,1,0,,,2017,,
Vivendi SA,,EU-France,0,1,0,1,0,,,2017,,
Zodiac Aerospace,,EU-France,0,0,1,0,0,,,2017,,
Air France Klm,,EU-France,0,1,,,1,0,1,2018,,
Airbus SE,,EU-France,0,1,,,0,0,1,2018,,
Arkema,,EU-France,0,1,,,1,0,1,2018,,
Atos SE,,EU-France,1,1,,,0,0,1,2018,,
Axa,,EU-France,0,1,,,1,0,1,2018,,
Carrefour,,EU-France,1,1,,,0,1,1,2018,,
Compagnie de Saint Gobain,,EU-France,1,1,,,1,0,1,2018,,
Credit agricole SA,,EU-France,1,1,,,0,0,1,2018,,
Danone,,EU-France,1,1,,,0,0,1,2018,,
