,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,1.7831971453357731,10.16814075039488,,,,,0.02821698105010384,7734
engaged_0year,0.0183298597459982,0.2544368453869594,0.0007985630117439461,0.2507604497904434,0.8019993212114793,,0.02821698105010384,7734
Multiple Engagements,-0.11133989839315127,-1.0265694223997661,-0.004850660388032221,-1.017225118454797,0.3090463493927429,,0.02821698105010384,7734
portfolio_weight,52.71136141699257,2.9849362496207075,2.296435657968801,2.8170151309205553,0.004847224204298938,***,0.02821698105010384,7734
ownership_stake,-1.2498205267965348,-0.4686311729567373,-0.05444997713285525,-0.47087169673400414,0.637732360904506,,0.02821698105010384,7734
excess_return,1.1397069442411487,0.664970710790469,0.04965274271110566,0.6701253531570369,0.5027778841332504,,0.02821698105010384,7734
CBOARD,0.05658472466722827,0.5417364861856113,0.0024651835188662,0.5365503353797343,0.5915782578380002,,0.02821698105010384,7734
DUALCLASS,-0.23343672160883017,-0.8555584046810073,-0.010169959511025645,-0.8575586130815905,0.3911362365166636,,0.02821698105010384,7734
FAIRPRICE,0.10442267442628454,1.0475287053547708,0.00454930297011229,1.0156410450641762,0.3098003517163693,,0.02821698105010384,7734
GPARACHUTE,0.08293585008997383,0.9829912352716002,0.0036132028911925102,1.0114980990307496,0.3117780905032139,,0.02821698105010384,7734
LSPMT,0.1287839502287201,1.8735698678819865,0.005610632082516714,2.0365285199002945,0.041697312261305776,**,0.02821698105010384,7734
PPILL,-0.4639399729575158,-3.2817983029078066,-0.020212118761805776,-3.192032371340562,0.0014127549853999103,***,0.02821698105010384,7734
UNEQVOTE,0.05699481270488915,0.20085024759832318,0.002483049511458213,0.20101988812939883,0.8406830230014911,,0.02821698105010384,7734
majority_vote,0.10199330476672137,0.980021360084097,0.004443464476045052,0.9845070747731661,0.32486625462652186,,0.02821698105010384,7734
Shareholder,-0.525853806090162,-5.015987336434508,-0.022909471482456697,-4.545887989269552,5.470412446483896e-06,***,0.02821698105010384,7734
