,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,0.6443542178810923,6.1420302913119995,,,,,0.12378777290942944,22610
engaged_0year,-0.035006903390735596,-0.8840703634131578,-0.0014043785688390986,-0.8468120754145947,0.3970998764674124,,0.12378777290942944,22610
Multiple Engagements,0.10619040872586816,1.702629139017242,0.004260060724775233,1.6056924524807354,0.10834150044060273,,0.12378777290942944,22610
portfolio_weight,63.03839280208623,7.31611509029812,2.528923134879155,5.952743697779906,2.636840738681315e-09,***,0.12378777290942944,22610
ownership_stake,15.446444689446324,7.691454205890352,0.6196679450475983,6.352100966503452,2.12393834072121e-10,***,0.12378777290942944,22610
excess_return,0.04654530274831912,0.042548590134554795,0.0018672667196598168,0.04256605080366348,0.9660474584833113,,0.12378777290942944,22610
ROA,-1.3379974382694895,-5.182693404776552,-0.05367669646451987,-4.942345525462711,7.71882591922529e-07,***,0.12378777290942944,22610
CBOARD,-0.8511666113816821,-14.079802269011582,-0.03414641204317941,-10.12354042524722,4.3441144695372736e-24,***,0.12378777290942944,22610
DUALCLASS,-0.14692195168902827,-0.9359541855508466,-0.005894095742803976,-0.9316271332243553,0.35152925568725235,,0.12378777290942944,22610
FAIRPRICE,-0.15236879307719445,-2.9971697614606656,-0.006112607709658798,-3.0571231445919955,0.0022347244724071668,***,0.12378777290942944,22610
GPARACHUTE,0.6234350755492087,15.152427470209771,0.025010462919025284,11.64804484547421,2.3478370345500233e-31,***,0.12378777290942944,22610
LSPMT,-0.10168788744914244,-2.4756320254419784,-0.004079432226555963,-2.308701787860904,0.020960135073512378,**,0.12378777290942944,22610
PPILL,0.19311127039953344,1.8126429806765052,0.007747081383444188,1.7802113626970144,0.07504137652457576,*,0.12378777290942944,22610
UNEQVOTE,-0.06819574226895567,-0.43444839808743974,-0.0027358214995371953,-0.4349521127305385,0.6635971870542177,,0.12378777290942944,22610
majority_vote,0.3521667305618543,6.5846378598187325,0.014127939382095944,5.995506872163381,2.028517164486979e-09,***,0.12378777290942944,22610
