,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,1.7219520764434644,9.471781769107906,,,,,0.02118357241428892,7720
engaged_0year,0.05529827316049806,0.7427462858158718,0.0023994619714303184,0.7117676177171481,0.4766086881869872,,0.02118357241428892,7720
Multiple Engagements,-0.12626757342119882,-1.1117158136447427,-0.005478909617477527,-1.1003622801713124,0.27117430629567796,,0.02118357241428892,7720
portfolio_weight,49.50362671707192,2.5950540285590677,2.148024937609573,2.472966649425382,0.01339966469458275,**,0.02118357241428892,7720
ownership_stake,-1.609909646500491,-0.5924714891427556,-0.06985601454506546,-0.5957603379632667,0.5513353432399293,,0.02118357241428892,7720
Shareholder,-0.20185419017510225,-1.5989583100629348,-0.008758708462618092,-1.6007679456118504,0.10942832569968886,,0.02118357241428892,7720
excess_return,0.8338547568852342,0.4817035701374097,0.036182011923505286,0.4846848157586632,0.627899939070578,,0.02118357241428892,7720
ROA,0.5270548049116447,1.4913819106408055,0.02286957420125208,1.476921931852945,0.13969656519235846,,0.02118357241428892,7720
CBOARD,0.04082612336873663,0.38481966836265996,0.0017714970986505193,0.3823489215953803,0.7022025719679201,,0.02118357241428892,7720
DUALCLASS,-0.20077562298842558,-0.712743969450167,-0.008711908069040668,-0.7144087469539347,0.474974464808693,,0.02118357241428892,7720
FAIRPRICE,0.078898645712358,0.7858819468888765,0.0034235119681710444,0.7686073378618828,0.4421264480885465,,0.02118357241428892,7720
GPARACHUTE,0.13296922686039223,1.548672958008699,0.0057697028313339165,1.6149814101526048,0.10631472068433559,,0.02118357241428892,7720
LSPMT,0.12946919489927433,1.8376929534457696,0.005617832020375352,1.998611853945241,0.04565036681085588,**,0.02118357241428892,7720
PPILL,-0.4630798898134798,-3.263417021729348,-0.020093621768560468,-3.1697647669920124,0.0015256239280118115,***,0.02118357241428892,7720
UNEQVOTE,0.025929535986783582,0.08830775528918827,0.0011251153423280018,0.08834584677394476,0.9296018009268853,,0.02118357241428892,7720
majority_vote,0.10942741004677493,1.0358106741733935,0.004748193642092087,1.0410701319741744,0.29784300041295664,,0.02118357241428892,7720
