PERMNO,date,TICKER,COMNAM,CUSIP,PRC,SHROUT,market_cap
72726,2/07/2012,STT,STATE STREET CORP,85747710,44.72,488594,21849923680
72726,3/07/2012,STT,STATE STREET CORP,85747710,44.91,488594,21942756540
72726,5/07/2012,STT,STATE STREET CORP,85747710,44.8,488594,21889011200
72726,6/07/2012,STT,STATE STREET CORP,85747710,44.04,488594,21517679760
72726,9/07/2012,STT,STATE STREET CORP,85747710,43.67,488594,21336899980
72726,10/07/2012,STT,STATE STREET CORP,85747710,43.18,488594,21097488920
72726,11/07/2012,STT,STATE STREET CORP,85747710,43.2,488594,21107260800
72726,12/07/2012,STT,STATE STREET CORP,85747710,42.8,488594,20911823200
72726,13/07/2012,STT,STATE STREET CORP,85747710,44.11,488594,21551881340
72726,16/07/2012,STT,STATE STREET CORP,85747710,44.14,488594,21566539160
72726,17/07/2012,STT,STATE STREET CORP,85747710,41.33,488594,20193590020
72726,18/07/2012,STT,STATE STREET CORP,85747710,41.61,488594,20330396340
72726,19/07/2012,STT,STATE STREET CORP,85747710,41.54,488594,20296194760
72726,20/07/2012,STT,STATE STREET CORP,85747710,40.08,488594,19582847520
72726,23/07/2012,STT,STATE STREET CORP,85747710,39.72,488594,19406953680
72726,24/07/2012,STT,STATE STREET CORP,85747710,39.42,488594,19260375480
72726,25/07/2012,STT,STATE STREET CORP,85747710,39.17,488594,19138226980
72726,26/07/2012,STT,STATE STREET CORP,85747710,39.69,488594,19392295860
72726,27/07/2012,STT,STATE STREET CORP,85747710,40.37,488594,19724539780
72726,30/07/2012,STT,STATE STREET CORP,85747710,40.18,488594,19631706920
72726,31/07/2012,STT,STATE STREET CORP,85747710,40.38,488594,19729425720
72726,1/08/2012,STT,STATE STREET CORP,85747710,40.24,488594,19661022560
72726,2/08/2012,STT,STATE STREET CORP,85747710,39.56,488594,19328778640
72726,3/08/2012,STT,STATE STREET CORP,85747710,40.7,488594,19885775800
72726,6/08/2012,STT,STATE STREET CORP,85747710,40.49,488594,19783171060
72726,7/08/2012,STT,STATE STREET CORP,85747710,41.31,488594,20183818140
72726,8/08/2012,STT,STATE STREET CORP,85747710,41.38,488594,20218019720
72726,9/08/2012,STT,STATE STREET CORP,85747710,41.81,488594,20428115140
72726,10/08/2012,STT,STATE STREET CORP,85747710,41.85,488594,20447658900
72726,13/08/2012,STT,STATE STREET CORP,85747710,41.79,488594,20418343260
72726,14/08/2012,STT,STATE STREET CORP,85747710,41.22,488594,20139844680
72726,15/08/2012,STT,STATE STREET CORP,85747710,41.35,488594,20203361900
72726,16/08/2012,STT,STATE STREET CORP,85747710,41.57,488594,20310852580
72726,17/08/2012,STT,STATE STREET CORP,85747710,41.91,488594,20476974540
72726,20/08/2012,STT,STATE STREET CORP,85747710,41.91,488594,20476974540
72726,21/08/2012,STT,STATE STREET CORP,85747710,41.85,488594,20447658900
72726,22/08/2012,STT,STATE STREET CORP,85747710,41.68,488594,20364597920
72726,23/08/2012,STT,STATE STREET CORP,85747710,41.22,488594,20139844680
72726,24/08/2012,STT,STATE STREET CORP,85747710,41.44,488594,20247335360
72726,27/08/2012,STT,STATE STREET CORP,85747710,41.1,488594,20081213400
72726,28/08/2012,STT,STATE STREET CORP,85747710,41.1,488594,20081213400
72726,29/08/2012,STT,STATE STREET CORP,85747710,41.23,488594,20144730620
72726,30/08/2012,STT,STATE STREET CORP,85747710,41.18,488594,20120300920
72726,31/08/2012,STT,STATE STREET CORP,85747710,41.6,479105,19930768000
72726,4/09/2012,STT,STATE STREET CORP,85747710,41.72,479105,19988260600
72726,5/09/2012,STT,STATE STREET CORP,85747710,41.95,479105,20098454750
72726,6/09/2012,STT,STATE STREET CORP,85747710,42.86,479105,20534440300
72726,7/09/2012,STT,STATE STREET CORP,85747710,43,479105,20601515000
72726,10/09/2012,STT,STATE STREET CORP,85747710,42.9,479105,20553604500
72726,11/09/2012,STT,STATE STREET CORP,85747710,43.1,479105,20649425500
72726,12/09/2012,STT,STATE STREET CORP,85747710,43.18,479105,20687753900
72726,13/09/2012,STT,STATE STREET CORP,85747710,44.09,479105,21123739450
72726,14/09/2012,STT,STATE STREET CORP,85747710,43.92,479105,21042291600
72726,17/09/2012,STT,STATE STREET CORP,85747710,43.91,479105,21037500550
72726,18/09/2012,STT,STATE STREET CORP,85747710,43.69,479105,20932097450
72726,19/09/2012,STT,STATE STREET CORP,85747710,43.45,479105,20817112250
72726,20/09/2012,STT,STATE STREET CORP,85747710,43.43,479105,20807530150
72726,21/09/2012,STT,STATE STREET CORP,85747710,43.71,479105,20941679550
72726,24/09/2012,STT,STATE STREET CORP,85747710,43.39,479105,20788365950
72726,25/09/2012,STT,STATE STREET CORP,85747710,42.36,479105,20294887800
72726,26/09/2012,STT,STATE STREET CORP,85747710,41.71,479105,19983469550
72726,27/09/2012,STT,STATE STREET CORP,85747710,42.04,479105,20141574200
72726,28/09/2012,STT,STATE STREET CORP,85747710,41.96,479105,20103245800
72726,1/10/2012,STT,STATE STREET CORP,85747710,42.07,479105,20155947350
72726,2/10/2012,STT,STATE STREET CORP,85747710,42.08,479105,20160738400
72726,3/10/2012,STT,STATE STREET CORP,85747710,41.94,479105,20093663700
72726,4/10/2012,STT,STATE STREET CORP,85747710,42.29,479105,20261350450
72726,5/10/2012,STT,STATE STREET CORP,85747710,41.99,479105,20117618950
72726,8/10/2012,STT,STATE STREET CORP,85747710,41.95,479105,20098454750
72726,9/10/2012,STT,STATE STREET CORP,85747710,41.49,479105,19878066450
72726,10/10/2012,STT,STATE STREET CORP,85747710,41.46,479105,19863693300
72726,11/10/2012,STT,STATE STREET CORP,85747710,42.02,479105,20131992100
72726,12/10/2012,STT,STATE STREET CORP,85747710,41.38,479105,19825364900
72726,15/10/2012,STT,STATE STREET CORP,85747710,41.58,479105,19921185900
72726,16/10/2012,STT,STATE STREET CORP,85747710,43.53,479105,20855440650
72726,17/10/2012,STT,STATE STREET CORP,85747710,44.69,479105,21411202450
72726,18/10/2012,STT,STATE STREET CORP,85747710,44.93,479105,21526187650
72726,19/10/2012,STT,STATE STREET CORP,85747710,44.66,479105,21396829300
72726,22/10/2012,STT,STATE STREET CORP,85747710,44.71,479105,21420784550
72726,23/10/2012,STT,STATE STREET CORP,85747710,43.92,479105,21042291600
72726,24/10/2012,STT,STATE STREET CORP,85747710,44.26,479105,21205187300
72726,25/10/2012,STT,STATE STREET CORP,85747710,44.69,479105,21411202450
72726,26/10/2012,STT,STATE STREET CORP,85747710,44.38,479105,21262679900
72726,31/10/2012,STT,STATE STREET CORP,85747710,44.57,479105,21353709850
72726,1/11/2012,STT,STATE STREET CORP,85747710,45.05,479105,21583680250
72726,2/11/2012,STT,STATE STREET CORP,85747710,44.72,479105,21425575600
72726,5/11/2012,STT,STATE STREET CORP,85747710,45.93,479105,22005292650
72726,6/11/2012,STT,STATE STREET CORP,85747710,46.33,479105,22196934650
72726,7/11/2012,STT,STATE STREET CORP,85747710,44.72,479105,21425575600
72726,8/11/2012,STT,STATE STREET CORP,85747710,44.38,479105,21262679900
72726,9/11/2012,STT,STATE STREET CORP,85747710,44.31,479105,21229142550
72726,12/11/2012,STT,STATE STREET CORP,85747710,44.39,479105,21267470950
72726,13/11/2012,STT,STATE STREET CORP,85747710,44.28,479105,21214769400
72726,14/11/2012,STT,STATE STREET CORP,85747710,43.98,479105,21071037900
72726,15/11/2012,STT,STATE STREET CORP,85747710,44.14,479105,21147694700
72726,16/11/2012,STT,STATE STREET CORP,85747710,44.21,479105,21181232050
72726,19/11/2012,STT,STATE STREET CORP,85747710,45.29,479105,21698665450
72726,20/11/2012,STT,STATE STREET CORP,85747710,45.29,479105,21698665450
72726,21/11/2012,STT,STATE STREET CORP,85747710,45.4,479105,21751367000
72726,23/11/2012,STT,STATE STREET CORP,85747710,45.78,479105,21933426900
72726,26/11/2012,STT,STATE STREET CORP,85747710,44.9,479105,21511814500
72726,27/11/2012,STT,STATE STREET CORP,85747710,44.54,479105,21339336700
72726,28/11/2012,STT,STATE STREET CORP,85747710,44.66,479105,21396829300
72726,29/11/2012,STT,STATE STREET CORP,85747710,44.6,479105,21368083000
72726,30/11/2012,STT,STATE STREET CORP,85747710,44.44,464808,20656067520
72726,3/12/2012,STT,STATE STREET CORP,85747710,44.71,464808,20781565680
72726,4/12/2012,STT,STATE STREET CORP,85747710,44.4,464808,20637475200
72726,5/12/2012,STT,STATE STREET CORP,85747710,44.63,464808,20744381040
72726,6/12/2012,STT,STATE STREET CORP,85747710,44.57,464808,20716492560
72726,7/12/2012,STT,STATE STREET CORP,85747710,45.15,464808,20986081200
72726,10/12/2012,STT,STATE STREET CORP,85747710,44.94,464808,20888471520
72726,11/12/2012,STT,STATE STREET CORP,85747710,45.35,464808,21079042800
72726,12/12/2012,STT,STATE STREET CORP,85747710,45.41,464808,21106931280
72726,13/12/2012,STT,STATE STREET CORP,85747710,45.35,464808,21079042800
72726,14/12/2012,STT,STATE STREET CORP,85747710,45.45,464808,21125523600
72726,17/12/2012,STT,STATE STREET CORP,85747710,46.43,464808,21581035440
72726,18/12/2012,STT,STATE STREET CORP,85747710,46.97,464808,21832031760
72726,19/12/2012,STT,STATE STREET CORP,85747710,46.5,464808,21613572000
72726,20/12/2012,STT,STATE STREET CORP,85747710,46.55,464808,21636812400
72726,21/12/2012,STT,STATE STREET CORP,85747710,46.41,464808,21571739280
72726,24/12/2012,STT,STATE STREET CORP,85747710,46.38,464808,21557795040
72726,26/12/2012,STT,STATE STREET CORP,85747710,46.47,464808,21599627760
72726,27/12/2012,STT,STATE STREET CORP,85747710,46.32,464808,21529906560
72726,28/12/2012,STT,STATE STREET CORP,85747710,46.05,464808,21404408400
72726,31/12/2012,STT,STATE STREET CORP,85747710,47.01,464808,21850624080
72726,2/01/2013,STT,STATE STREET CORP,85747710,48.32,464808,22459522560
72726,3/01/2013,STT,STATE STREET CORP,85747710,48.06,464808,22338672480
72726,4/01/2013,STT,STATE STREET CORP,85747710,49.39,464808,22956867120
72726,7/01/2013,STT,STATE STREET CORP,85747710,49.44,464808,22980107520
72726,8/01/2013,STT,STATE STREET CORP,85747710,49.11,464808,22826720880
72726,9/01/2013,STT,STATE STREET CORP,85747710,49.51,464808,23012644080
72726,10/01/2013,STT,STATE STREET CORP,85747710,50.25,464808,23356602000
72726,11/01/2013,STT,STATE STREET CORP,85747710,50.58,464808,23509988640
72726,14/01/2013,STT,STATE STREET CORP,85747710,51.01,464808,23709856080
72726,15/01/2013,STT,STATE STREET CORP,85747710,50.8,464808,23612246400
72726,16/01/2013,STT,STATE STREET CORP,85747710,49.85,464808,23170678800
72726,17/01/2013,STT,STATE STREET CORP,85747710,50.38,464808,23417027040
72726,18/01/2013,STT,STATE STREET CORP,85747710,53.36,464808,24802154880
72726,22/01/2013,STT,STATE STREET CORP,85747710,55.25,464808,25680642000
72726,23/01/2013,STT,STATE STREET CORP,85747710,55.33,464808,25717826640
72726,24/01/2013,STT,STATE STREET CORP,85747710,55.52,464808,25806140160
72726,25/01/2013,STT,STATE STREET CORP,85747710,56.45,464808,26238411600
72726,28/01/2013,STT,STATE STREET CORP,85747710,56.39,464808,26210523120
72726,29/01/2013,STT,STATE STREET CORP,85747710,56.04,464808,26047840320
72726,30/01/2013,STT,STATE STREET CORP,85747710,55.92,464808,25992063360
72726,31/01/2013,STT,STATE STREET CORP,85747710,55.65,464808,25866565200
72726,1/02/2013,STT,STATE STREET CORP,85747710,56.36,464808,26196578880
72726,4/02/2013,STT,STATE STREET CORP,85747710,55.94,464808,26001359520
72726,5/02/2013,STT,STATE STREET CORP,85747710,56.17,464808,26108265360
72726,6/02/2013,STT,STATE STREET CORP,85747710,56.38,464808,26205875040
72726,7/02/2013,STT,STATE STREET CORP,85747710,56.23,464808,26136153840
72726,8/02/2013,STT,STATE STREET CORP,85747710,56.55,464808,26284892400
72726,11/02/2013,STT,STATE STREET CORP,85747710,56.6,464808,26308132800
72726,12/02/2013,STT,STATE STREET CORP,85747710,56.93,464808,26461519440
72726,13/02/2013,STT,STATE STREET CORP,85747710,57.07,464808,26526592560
72726,14/02/2013,STT,STATE STREET CORP,85747710,57.2,464808,26587017600
72726,15/02/2013,STT,STATE STREET CORP,85747710,57.24,464808,26605609920
72726,19/02/2013,STT,STATE STREET CORP,85747710,57.54,464808,26745052320
72726,20/02/2013,STT,STATE STREET CORP,85747710,56.73,464808,26368557840
72726,21/02/2013,STT,STATE STREET CORP,85747710,56.09,464808,26071080720
72726,22/02/2013,STT,STATE STREET CORP,85747710,57.19,464808,26582369520
72726,25/02/2013,STT,STATE STREET CORP,85747710,56.2,464808,26122209600
72726,26/02/2013,STT,STATE STREET CORP,85747710,56.9,464808,26447575200
72726,27/02/2013,STT,STATE STREET CORP,85747710,56.97,464808,26480111760
72726,28/02/2013,STT,STATE STREET CORP,85747710,56.59,456881,25854895790
72726,1/03/2013,STT,STATE STREET CORP,85747710,56.31,456881,25726969110
72726,4/03/2013,STT,STATE STREET CORP,85747710,57.1,456881,26087905100
72726,5/03/2013,STT,STATE STREET CORP,85747710,57.5,456881,26270657500
72726,6/03/2013,STT,STATE STREET CORP,85747710,58.66,456881,26800639460
72726,7/03/2013,STT,STATE STREET CORP,85747710,58.66,456881,26800639460
72726,8/03/2013,STT,STATE STREET CORP,85747710,59.2,456881,27047355200
72726,11/03/2013,STT,STATE STREET CORP,85747710,59.38,456881,27129593780
72726,12/03/2013,STT,STATE STREET CORP,85747710,59.13,456881,27015373530
72726,13/03/2013,STT,STATE STREET CORP,85747710,59.81,456881,27326052610
72726,14/03/2013,STT,STATE STREET CORP,85747710,59.95,456881,27390015950
72726,15/03/2013,STT,STATE STREET CORP,85747710,60.03,456881,27426566430
72726,18/03/2013,STT,STATE STREET CORP,85747710,59.31,456881,27097612110
72726,19/03/2013,STT,STATE STREET CORP,85747710,59.26,456881,27074768060
72726,20/03/2013,STT,STATE STREET CORP,85747710,60.53,456881,27655006930
72726,21/03/2013,STT,STATE STREET CORP,85747710,59,456881,26955979000
72726,22/03/2013,STT,STATE STREET CORP,85747710,59.77,456881,27307777370
72726,25/03/2013,STT,STATE STREET CORP,85747710,59.32,456881,27102180920
72726,26/03/2013,STT,STATE STREET CORP,85747710,59.76,456881,27303208560
72726,27/03/2013,STT,STATE STREET CORP,85747710,59.41,456881,27143300210
72726,28/03/2013,STT,STATE STREET CORP,85747710,59.09,456881,26997098290
72726,1/04/2013,STT,STATE STREET CORP,85747710,58.23,456881,26604180630
72726,2/04/2013,STT,STATE STREET CORP,85747710,58.71,456881,26823483510
72726,3/04/2013,STT,STATE STREET CORP,85747710,56.91,456881,26001097710
