gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
11465,3,31/03/1964,,S&P 500 Comp-Ltd,I0003,WHIRLPOOL CORP,WHR
11636,3,31/03/1964,,S&P 500 Comp-Ltd,I0003,XEROX HOLDINGS CORP,XRX
10120,3,31/03/1964,31/05/1964,S&P 500 Comp-Ltd,I0003,STUDEBAKER-WORTHINGTON INC,SKW
186940,3,31/03/1964,31/05/1964,S&P 500 Comp-Ltd,I0003,TEXAS GULF PRODUCING CO,TR.1
11347,3,31/03/1964,31/08/1964,S&P 500 Comp-Ltd,I0003,WELBILT CORP,WBLT
186948,3,31/03/1964,31/08/1964,S&P 500 Comp-Ltd,I0003,SEE CENTRAL,5740B
187080,3,31/03/1964,31/08/1964,S&P 500 Comp-Ltd,I0003,CELOTEX CORP,CLO.1
186925,3,31/03/1964,30/11/1964,S&P 500 Comp-Ltd,I0003,NY CHICAGO & ST LOUIS RR,NKP.
6096,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,MALLINCKRODT INC,MKG
186910,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,ALCO PRODUCTS INC,AP.
186913,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,HEWITT-ROBINS CONVEYOR EQPMT,HEW.1
186914,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,ALDENS INC,AUD.1
186937,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,SMITH-DOUGLAS CO INC,SDG.2
186944,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,RELIANCE MANUFACTURING,RMC
186949,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,ROYAL MCBEE CORP,RMB.1
187091,3,31/03/1964,28/02/1965,S&P 500 Comp-Ltd,I0003,JAEGER MACHINE CO,JAE
1302,3,31/03/1964,31/05/1965,S&P 500 Comp-Ltd,I0003,ALLIED SUPERMARKETS,ASU.1
3249,3,31/03/1964,31/05/1965,S&P 500 Comp-Ltd,I0003,COMMERCIAL SOLVENTS CORP,CV.4
3810,3,31/03/1964,31/05/1965,S&P 500 Comp-Ltd,I0003,DAY INTERNATIONAL INC,MAH1
9656,3,31/03/1964,31/05/1965,S&P 500 Comp-Ltd,I0003,SHELLER-GLOBE,4969C
10684,3,31/03/1964,31/05/1965,S&P 500 Comp-Ltd,I0003,TRANSITRON ELECTRONIC CORP,4482B
186927,3,31/03/1964,31/05/1965,S&P 500 Comp-Ltd,I0003,PENICK & FORD LTD,PFK.
15343,3,31/03/1964,31/08/1965,S&P 500 Comp-Ltd,I0003,MUELLER INDUSTRIES,MLI
1753,3,31/03/1964,30/11/1965,S&P 500 Comp-Ltd,I0003,ARMADA CORP,3AMDA
186930,3,31/03/1964,30/11/1965,S&P 500 Comp-Ltd,I0003,BRIGGS MANUFACTURING CO,BG.1
186933,3,31/03/1964,30/11/1965,S&P 500 Comp-Ltd,I0003,CONDE NAST PUBLICATIONS LTD,NAS.2
186946,3,31/03/1964,30/11/1965,S&P 500 Comp-Ltd,I0003,REPUBLIC AVIATION CORP,RA.2
187117,3,31/03/1964,30/11/1965,S&P 500 Comp-Ltd,I0003,SPIEGEL INC,SM.2
186912,3,31/03/1964,28/02/1966,S&P 500 Comp-Ltd,I0003,DREWRYS LTD,DRE.
4322,3,31/03/1964,31/05/1966,S&P 500 Comp-Ltd,I0003,EMERSON RADIO CORP,MSN
186919,3,31/03/1964,31/05/1966,S&P 500 Comp-Ltd,I0003,KVP SUTHERLAND PAPER CO,KSP.
186929,3,31/03/1964,31/05/1966,S&P 500 Comp-Ltd,I0003,BRACH (EJ) & SONS,BRK.2
186939,3,31/03/1964,31/05/1966,S&P 500 Comp-Ltd,I0003,SUNSHINE BISCUIT INC,SUS.1
186941,3,31/03/1964,31/05/1966,S&P 500 Comp-Ltd,I0003,THATCHER GLASS MANUFACTURING,TMC.2
187077,3,31/03/1964,31/08/1966,S&P 500 Comp-Ltd,I0003,CONSOLIDATION COAL CO,CSC.1
1993,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,BALTIMORE & OHIO RAILROAD CO,2305B
6809,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,COMFORCE CORP,CFS
11405,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,WESTERN MARYLAND RAILWAY CO,WMRY
11414,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,WESTERN PACIFIC RR-CA,UNP1
13499,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,STORER COMMUNICATIONS INC,4660C
186931,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,CHICAGO GREAT WESTERN RR CO,CGW.1
186934,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,SEABOARD AIR LINE RAILROAD,SBD
186943,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,UNITED GAS CORP,UGC
187087,3,31/03/1964,30/11/1966,S&P 500 Comp-Ltd,I0003,PARAMOUNT PICTURES CORP,PXN.
2917,3,31/03/1964,28/02/1967,S&P 500 Comp-Ltd,I0003,CHAMPION INTERNATIONAL CORP,CHA.3
2104,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,BEAUNIT CORP,BEM.1
4056,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,DOUGLAS AIRCRAFT INC,D.1
6913,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,MACK TRUCKS INC,MACK.1
10880,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,UNITED ARTISTS ENT  -CL A,UAECA
11515,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,WILSON & CO-DEL,WIL.1
186922,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,BIGELOW-SANFORD CARPET CO,BGS.4
186950,3,31/03/1964,31/05/1967,S&P 500 Comp-Ltd,I0003,RUBEROID CO,RBR
1192,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,AGUIRRE CO,AGG.2
4841,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,FOREMOST DAIRIES INC,FOR.1
7171,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,MCKESSON CORP,MCK
11105,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,VANADIUM CORP,VCA.2
11283,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,WARNER BROS SEVEN ARTS LTD,WBS.1
186916,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,HOLT RHINEHART & WINSTON,HRW.1
186920,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,LINK-BELT CO,LKB
