gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
11296,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,WGL HOLDINGS INC,WGL
12564,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,CLEVELAND ELECTRIC ILLUM,CX2
13121,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,FLAGSTAR CORP,3FLSTQ1
7061,3,31/03/1964,31/08/1976,S&P 500 Comp-Ltd,I0003,MARQUETTE CO,MQC.
7254,3,31/03/1964,30/11/1976,S&P 500 Comp-Ltd,I0003,MERCANTILE STORES CO INC,MST.
7618,3,31/03/1964,30/11/1976,S&P 500 Comp-Ltd,I0003,MURPHY (G.C.) CO,MPH.2
1628,3,31/03/1964,28/02/1977,S&P 500 Comp-Ltd,I0003,ANACONDA CO,A.2
3470,3,31/03/1964,31/05/1977,S&P 500 Comp-Ltd,I0003,CONTINENTAL STEEL CORP-DEL,CSCSQ
6651,3,31/03/1964,30/11/1977,S&P 500 Comp-Ltd,I0003,LEHIGH PORTLAND CEMENT CO,LPT.
5781,3,31/03/1964,28/02/1978,S&P 500 Comp-Ltd,I0003,HUNT INTL RESOURCES CORP,HI.1
1965,3,31/03/1964,31/05/1978,S&P 500 Comp-Ltd,I0003,BABCOCK & WILCOX CO-OLD,BAW.
2455,3,31/03/1964,31/05/1978,S&P 500 Comp-Ltd,I0003,BUDD CO,BF.
6648,3,31/03/1964,31/05/1978,S&P 500 Comp-Ltd,I0003,LEESONA CORP,LSO.
4628,3,31/03/1964,31/08/1978,S&P 500 Comp-Ltd,I0003,FIBREBOARD CORP -OLD,FBD.
5979,3,31/03/1964,31/08/1978,S&P 500 Comp-Ltd,I0003,INSPIRATION CONS COPPER CO,9177A
6846,3,31/03/1964,30/11/1978,S&P 500 Comp-Ltd,I0003,LYKES CORP-DEL,LY
8331,3,31/03/1964,30/11/1978,S&P 500 Comp-Ltd,I0003,REVLON GROUP INC,4639A
3670,3,31/03/1964,28/02/1979,S&P 500 Comp-Ltd,I0003,CUTLER-HAMMER INC,CH.3
3841,3,31/03/1964,28/02/1979,S&P 500 Comp-Ltd,I0003,DEL MONTE CORP-OLD,DEL.1
9737,3,31/03/1964,28/02/1979,S&P 500 Comp-Ltd,I0003,SIMMONS CO,SIM.4
4995,3,31/03/1964,31/05/1979,S&P 500 Comp-Ltd,I0003,GARDNER-DENVER CO,GDC.2
7617,3,31/03/1964,31/05/1979,S&P 500 Comp-Ltd,I0003,PREMIUMWEAR INC,WEAR.1
1572,3,31/03/1964,31/08/1979,S&P 500 Comp-Ltd,I0003,AMERICAN STORES CO  -OLD,ASE.2
2789,3,31/03/1964,31/08/1979,S&P 500 Comp-Ltd,I0003,CARRIER CORP,CRR.2
2549,3,31/03/1964,29/02/1980,S&P 500 Comp-Ltd,I0003,CIT GROUP INC-OLD,CIT.1
4780,3,31/03/1964,29/02/1980,S&P 500 Comp-Ltd,I0003,FLINTKOTE CO,FO.2
6877,3,31/03/1964,31/05/1980,S&P 500 Comp-Ltd,I0003,MGM GRAND HOTELS INC,GRH.1
11282,3,31/03/1964,31/05/1980,S&P 500 Comp-Ltd,I0003,WARNER & SWASEY CO,WS.2
6726,3,31/03/1964,31/08/1980,S&P 500 Comp-Ltd,I0003,LIGGETT GROUP INC-OLD,2788A
2989,3,31/03/1964,30/11/1980,S&P 500 Comp-Ltd,I0003,CHESSIE SYSTEM INC,CO.2
7967,3,31/03/1964,30/11/1980,S&P 500 Comp-Ltd,I0003,ENVIROSOURCE INC,3ENSO
8820,3,31/03/1964,30/11/1980,S&P 500 Comp-Ltd,I0003,PULLMAN INC,PU
9377,3,31/03/1964,30/11/1980,S&P 500 Comp-Ltd,I0003,ST LOUIS-SAN FRAN RAILWAY,FN.1
4951,3,31/03/1964,31/05/1981,S&P 500 Comp-Ltd,I0003,GK TECHNOLOGIES INC,GK.
6387,3,31/03/1964,31/05/1981,S&P 500 Comp-Ltd,I0003,KENNECOTT CORP,KN.1
9103,3,31/03/1964,31/05/1981,S&P 500 Comp-Ltd,I0003,REVERE COPPER & BRASS INC,RVB
10774,3,31/03/1964,31/05/1981,S&P 500 Comp-Ltd,I0003,TWENTIETH CENTURY-FOX FILM,2888A
3142,3,31/03/1964,31/08/1981,S&P 500 Comp-Ltd,I0003,COCA-COLA BOTTLING CO OF NY,KNY.1
9369,3,31/03/1964,31/08/1981,S&P 500 Comp-Ltd,I0003,ST JOE MINERALS CORP,SJO.1
3398,3,31/03/1964,30/11/1981,S&P 500 Comp-Ltd,I0003,CONOCO INC-OLD,CLL.2
5077,3,31/03/1964,30/11/1981,S&P 500 Comp-Ltd,I0003,GENERAL PORTLAND INC,LAF1
10160,3,31/03/1964,28/02/1982,S&P 500 Comp-Ltd,I0003,SUNBEAM CORP,AG1
3208,3,31/03/1964,31/05/1982,S&P 500 Comp-Ltd,I0003,COLUMBIA PICTURES INDS,CPS.3
7068,3,31/03/1964,31/05/1982,S&P 500 Comp-Ltd,I0003,MARSHALL FIELD & CO,MF.
9009,3,31/03/1964,31/05/1982,S&P 500 Comp-Ltd,I0003,REEVES BROTHERS INC,RVS.
9303,3,31/03/1964,31/05/1982,S&P 500 Comp-Ltd,I0003,RYMER FOODS INC,RFDS
9864,3,31/03/1964,31/05/1982,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN RAILWAY CO,NSC1
1221,3,31/03/1964,31/08/1982,S&P 500 Comp-Ltd,I0003,AKZONA,AXO.2
7007,3,31/03/1964,31/08/1982,S&P 500 Comp-Ltd,I0003,JOHNS MANVILLE CORP,JM
9766,3,31/03/1964,31/08/1982,S&P 500 Comp-Ltd,I0003,SLATTERY GROUP INC,3SGIB
1362,3,31/03/1964,30/09/1982,S&P 500 Comp-Ltd,I0003,AMALGAMATED SUGAR CO,AGM.2
5669,3,31/03/1964,30/09/1982,S&P 500 Comp-Ltd,I0003,HOLLY SUGAR CORP,HLYS.1
3067,3,31/03/1964,30/11/1982,S&P 500 Comp-Ltd,I0003,CITIES SERVICE CO,OXY1
2157,3,31/03/1964,31/01/1983,S&P 500 Comp-Ltd,I0003,BENDIX CORP,ALD1
5025,3,31/03/1964,28/02/1983,S&P 500 Comp-Ltd,I0003,GENERAL AMERICAN OIL CO-TX,GAO
5767,3,31/03/1964,30/06/1983,S&P 500 Comp-Ltd,I0003,HUDSON BAY MINING & SMELTING,7606B
10091,3,31/03/1964,31/07/1983,S&P 500 Comp-Ltd,I0003,STOKELY VAN CAMP INC,OAT1
2424,3,31/03/1964,31/10/1983,S&P 500 Comp-Ltd,I0003,KEYSPAN ENERGY CORP,KSE.
4240,3,31/03/1964,31/10/1983,S&P 500 Comp-Ltd,I0003,EL PASO CO,ELG.2
7837,3,31/03/1964,31/10/1983,S&P 500 Comp-Ltd,I0003,NEW ENGLAND ELECTRIC SYSTEM,NES.2
13353,3,31/03/1964,31/10/1983,S&P 500 Comp-Ltd,I0003,WISCONSIN ELECTRIC POWER CO,WEC2
9404,3,31/03/1964,30/11/1983,S&P 500 Comp-Ltd,I0003,SANTA FE INDUSTRIES,SFF.2
4011,3,31/03/1964,31/01/1984,S&P 500 Comp-Ltd,I0003,DR PEPPER CO-OLD,DOC.3
10649,3,31/03/1964,31/01/1984,S&P 500 Comp-Ltd,I0003,TRANE CO,TRA.3
21504,3,31/03/1964,31/03/1984,S&P 500 Comp-Ltd,I0003,CONE MILLS CORP,CJML
7089,3,31/03/1964,30/04/1984,S&P 500 Comp-Ltd,I0003,MASONITE CORP,MNC.3
5382,3,31/03/1964,31/05/1984,S&P 500 Comp-Ltd,I0003,GULF CORP,GO.1
7298,3,31/03/1964,31/05/1984,S&P 500 Comp-Ltd,I0003,METROMEDIA INC,MET.2
1010,3,31/03/1964,30/06/1984,S&P 500 Comp-Ltd,I0003,ACF INDUSTRIES HOLDING CORP,4165A
9064,3,31/03/1964,30/06/1984,S&P 500 Comp-Ltd,I0003,REPUBLIC STEEL CORP,3LTVCQ2
9266,3,31/03/1964,30/06/1984,S&P 500 Comp-Ltd,I0003,ROYAL CROWN COS INC,RCC.2
4449,3,31/03/1964,31/07/1984,S&P 500 Comp-Ltd,I0003,ESMARK INC-OLD,ESM.1
3460,3,31/03/1964,30/09/1984,S&P 500 Comp-Ltd,I0003,CONTINENTAL GROUP INC,CCC.6
10197,3,31/03/1964,30/09/1984,S&P 500 Comp-Ltd,I0003,SUPERIOR OIL CO,SOC.3
6260,3,31/03/1964,31/10/1984,S&P 500 Comp-Ltd,I0003,JEWEL COS INC,JWL.
9381,3,31/03/1964,31/10/1984,S&P 500 Comp-Ltd,I0003,ST REGIS CORP,SRT.1
11462,3,31/03/1964,31/03/1985,S&P 500 Comp-Ltd,I0003,HANDY & HARMAN LTD,HNH
1528,3,31/03/1964,30/04/1985,S&P 500 Comp-Ltd,I0003,AMERICAN NATURAL RESOURCES,ANR.2
7162,3,31/03/1964,30/04/1985,S&P 500 Comp-Ltd,I0003,MCGRAW-EDISON CO,MGR.2
7707,3,31/03/1964,30/04/1985,S&P 500 Comp-Ltd,I0003,NATIONAL CAN CORP,NAC.3
9653,3,31/03/1964,31/05/1985,S&P 500 Comp-Ltd,I0003,SHELL OIL CO,4108A
7674,3,31/03/1964,31/08/1985,S&P 500 Comp-Ltd,I0003,NABISCO BRANDS INC,NB.2
9560,3,31/03/1964,31/08/1985,S&P 500 Comp-Ltd,I0003,SEARLE (G.D.) & CO,SRL.2
10873,3,31/03/1964,31/08/1985,S&P 500 Comp-Ltd,I0003,UNIROYAL INC,R.1
1040,3,31/03/1964,30/09/1985,S&P 500 Comp-Ltd,I0003,AMF INC,AMF.2
5055,3,31/03/1964,31/10/1985,S&P 500 Comp-Ltd,I0003,GENERAL FOODS CORP,MO1
6828,3,31/03/1964,31/10/1985,S&P 500 Comp-Ltd,I0003,LOWENSTEIN (M.) CORP,LST.1
3125,3,31/03/1964,31/12/1985,S&P 500 Comp-Ltd,I0003,CLUETT PEABODY & CO,CLU.2
2102,3,31/03/1964,31/03/1986,S&P 500 Comp-Ltd,I0003,BEATRICE COS INC,4708C
1623,3,31/03/1964,30/04/1986,S&P 500 Comp-Ltd,I0003,AMSTED INDUSTRIES,4936C
3627,3,31/03/1964,30/04/1986,S&P 500 Comp-Ltd,I0003,CROWN ZELLERBACH,FJ1
7739,3,31/03/1964,30/04/1986,S&P 500 Comp-Ltd,I0003,NATIONAL GYPSUM CO,NGCO
8889,3,31/03/1964,31/05/1986,S&P 500 Comp-Ltd,I0003,RCA CORP,RCA.1
6928,3,31/03/1964,30/06/1986,S&P 500 Comp-Ltd,I0003,MACY (R H) & CO,4931C
9947,3,31/03/1964,31/08/1986,S&P 500 Comp-Ltd,I0003,SPERRY CORP,SY.2
1803,3,31/03/1964,30/09/1986,S&P 500 Comp-Ltd,I0003,ASSOCIATED DRY GOODS CORP,DG.2
4475,3,31/03/1964,30/09/1986,S&P 500 Comp-Ltd,I0003,EX-CELL-O CORP,XLO
4920,3,31/03/1964,30/09/1986,S&P 500 Comp-Ltd,I0003,K-H CORP,KH.1
11266,3,31/03/1964,30/09/1986,S&P 500 Comp-Ltd,I0003,WALKER (HIRAM) RESOURCES LTD,HWR.
9359,3,31/03/1964,31/10/1986,S&P 500 Comp-Ltd,I0003,SAFEWAY INC,SWY
2998,3,31/03/1964,30/11/1986,S&P 500 Comp-Ltd,I0003,CHICAGO PNEUMATIC TOOL CO,CGG.1
1301,3,31/03/1964,31/12/1986,S&P 500 Comp-Ltd,I0003,ALLIED STORES,9174A
2827,3,31/03/1964,31/01/1987,S&P 500 Comp-Ltd,I0003,CELANESE CORP-OLD,CZ.1
8215,3,31/03/1964,28/02/1987,S&P 500 Comp-Ltd,I0003,OWENS-ILLINOIS INC,OI
9111,3,31/03/1964,30/04/1987,S&P 500 Comp-Ltd,I0003,REXNORD HOLDINGS INC-OLD,FA1
6291,3,31/03/1964,31/05/1987,S&P 500 Comp-Ltd,I0003,JOY TECHNOLOGIES INC  -CL A,JOY.1
1517,3,31/03/1964,31/07/1987,S&P 500 Comp-Ltd,I0003,AMERICAN MOTORS CORP,AMO.1
2322,3,31/03/1964,31/07/1987,S&P 500 Comp-Ltd,I0003,BURNS INTL SERVICES CORP,BOR.1
2661,3,31/03/1964,31/07/1987,S&P 500 Comp-Ltd,I0003,CAMPBELL RED LAKE MINES,CRK.1
4021,3,31/03/1964,31/07/1987,S&P 500 Comp-Ltd,I0003,DOME MINES LTD,DM.2
2489,3,31/03/1964,31/08/1987,S&P 500 Comp-Ltd,I0003,BURLINGTON INDUSTRIES INC,3BRLGQ
10320,3,31/03/1964,30/09/1987,S&P 500 Comp-Ltd,I0003,TAFT BROADCASTING CO,TFB.
2110,3,31/03/1964,30/11/1987,S&P 500 Comp-Ltd,I0003,BE HOLDINGS INC  -CL A,5372C
9746,3,31/03/1964,31/01/1988,S&P 500 Comp-Ltd,I0003,BICOASTAL CORP,5573C
10066,3,31/03/1964,31/01/1988,S&P 500 Comp-Ltd,I0003,STERLING DRUG INC,STY.1
1567,3,31/03/1964,31/03/1988,S&P 500 Comp-Ltd,I0003,TRANE INC,TT.2
4611,3,31/03/1964,30/04/1988,S&P 500 Comp-Ltd,I0003,MACY'S INC,M
4672,3,31/03/1964,30/04/1988,S&P 500 Comp-Ltd,I0003,FIRESTONE TIRE & RUBBER CO,FIR.1
10082,3,31/03/1964,30/04/1988,S&P 500 Comp-Ltd,I0003,STEVENS (J.P.) & CO,WPM1
7495,3,31/03/1964,30/06/1988,S&P 500 Comp-Ltd,I0003,MOHASCO CORP,MOH.
6318,3,31/03/1964,31/10/1988,S&P 500 Comp-Ltd,I0003,KAISERTECH LTD,5854A
6920,3,31/03/1964,31/10/1988,S&P 500 Comp-Ltd,I0003,MACMILLAN INC,MLL.2
1414,3,31/03/1964,30/11/1988,S&P 500 Comp-Ltd,I0003,PRIMERICA INC,PRI
3746,3,31/03/1964,30/11/1988,S&P 500 Comp-Ltd,I0003,KRAFT GENERAL FOODS,MO3
9113,3,31/03/1964,31/01/1989,S&P 500 Comp-Ltd,I0003,NABISCO GROUP HOLDINGS CORP,NGH.2
2920,3,31/03/1964,30/04/1989,S&P 500 Comp-Ltd,I0003,CHAMPION SPARK PLUG,CHM.2
3224,3,31/03/1964,15/12/1989,S&P 500 Comp-Ltd,I0003,COMBUSTION ENGINEERING INC,CSP.2
6796,3,31/03/1964,30/11/1990,S&P 500 Comp-Ltd,I0003,LONE STAR INDUSTRIES,LCE
6025,3,31/03/1964,4/12/1990,S&P 500 Comp-Ltd,I0003,FURNITURE BRANDS INTL INC,FBNIQ
8308,3,31/03/1964,9/01/1991,S&P 500 Comp-Ltd,I0003,PAN AM CORP,3PNAA.
10970,3,31/03/1964,6/05/1991,S&P 500 Comp-Ltd,I0003,USX CORP-CONSOLIDATED,MROX.CM
9965,3,31/03/1964,21/05/1991,S&P 500 Comp-Ltd,I0003,SQUARE D CO,SQD.1
7648,3,31/03/1964,19/09/1991,S&P 500 Comp-Ltd,I0003,NCR CORP,NCR
10816,3,31/03/1964,31/01/1992,S&P 500 Comp-Ltd,I0003,USG CORP,USG
7515,3,31/03/1964,30/06/1992,S&P 500 Comp-Ltd,I0003,GENESIS WORLDWIDE INC-OLD,GWOW
8617,3,31/03/1964,30/06/1993,S&P 500 Comp-Ltd,I0003,PITTSTON CO-CONSOLIDATED,PZSM.CM
8935,3,31/03/1964,31/07/1993,S&P 500 Comp-Ltd,I0003,RALSTON PURINA-CONSOLIDATED,RACM.CM
7724,3,31/03/1964,30/09/1993,S&P 500 Comp-Ltd,I0003,QUANTUM CHEMICAL CORP,CUE.1
1365,3,31/03/1964,12/11/1993,S&P 500 Comp-Ltd,I0003,AMAX INC,AMX.2
7658,3,31/03/1964,31/12/1993,S&P 500 Comp-Ltd,I0003,NL INDUSTRIES,NL
4595,3,31/03/1964,31/03/1994,S&P 500 Comp-Ltd,I0003,FEDDERS CORP,FJCC
5141,3,31/03/1964,30/06/1994,S&P 500 Comp-Ltd,I0003,GERBER PRODUCTS CO,GEB.1
10795,3,31/03/1964,12/07/1994,S&P 500 Comp-Ltd,I0003,UNITED AIRLINES HOLDINGS INC,UAL
1430,3,31/03/1964,26/09/1994,S&P 500 Comp-Ltd,I0003,AMERICAN CYANAMID CO,ACY.1
7745,3,31/03/1964,26/09/1994,S&P 500 Comp-Ltd,I0003,AVATEX CORP,AVATQ
5109,3,31/03/1964,2/10/1994,S&P 500 Comp-Ltd,I0003,GENESCO INC,GCO
2316,3,31/03/1964,20/12/1994,S&P 500 Comp-Ltd,I0003,HEXION INC,0141A
7077,3,31/03/1964,15/03/1995,S&P 500 Comp-Ltd,I0003,MARTIN MARIETTA CORP,ML.3
3091,3,31/03/1964,21/05/1995,S&P 500 Comp-Ltd,I0003,CLARK EQUIPMENT CO,CKL
9408,3,31/03/1964,21/09/1995,S&P 500 Comp-Ltd,I0003,SANTA FE PACIFIC CORP,SFX.2
11678,3,31/03/1964,7/11/1995,S&P 500 Comp-Ltd,I0003,ZENITH ELECTRONICS CORP,ZE
2529,3,31/03/1964,26/11/1995,S&P 500 Comp-Ltd,I0003,CBS INC,CBS.1
9514,3,31/03/1964,12/12/1995,S&P 500 Comp-Ltd,I0003,SCOTT PAPER CO,SPP.3
4603,3,31/03/1964,12/03/1996,S&P 500 Comp-Ltd,I0003,FEDERAL PAPER BOARD CO,FBO
2436,3,31/03/1964,21/07/1996,S&P 500 Comp-Ltd,I0003,CALERES INC,CAL
8325,3,31/03/1964,18/06/1997,S&P 500 Comp-Ltd,I0003,PANENERGY CORP,PEL.1
4393,3,31/03/1964,5/08/1997,S&P 500 Comp-Ltd,I0003,TXU GAS CO,TXU2
2159,3,31/03/1964,30/06/1998,S&P 500 Comp-Ltd,I0003,BENEFICIAL CORP,BNL.1
5968,3,31/03/1964,30/06/1998,S&P 500 Comp-Ltd,I0003,RYERSON HOLDING CORP,RYI
4073,3,31/03/1964,30/09/1998,S&P 500 Comp-Ltd,I0003,DRESSER INDUSTRIES INC,DI.
5087,3,31/03/1964,6/10/1998,S&P 500 Comp-Ltd,I0003,SPX CORP,SPXC
3022,3,31/03/1964,12/11/1998,S&P 500 Comp-Ltd,I0003,CHRYSLER CORP,C.3
1755,3,31/03/1964,23/11/1998,S&P 500 Comp-Ltd,I0003,ARMCO INC,AS.
1609,3,31/03/1964,3/01/1999,S&P 500 Comp-Ltd,I0003,AMOCO CORP,AN.2
11584,3,31/03/1964,3/01/1999,S&P 500 Comp-Ltd,I0003,FOOT LOCKER INC,FL
6701,3,31/03/1964,11/04/1999,S&P 500 Comp-Ltd,I0003,AEROQUIP-VICKERS INC,ANV.1
10855,3,31/03/1964,2/05/1999,S&P 500 Comp-Ltd,I0003,UNION CAMP CORP,UCC.2
9810,3,31/03/1964,25/10/1999,S&P 500 Comp-Ltd,I0003,SONAT INC,SNT.1
1789,3,31/03/1964,26/10/1999,S&P 500 Comp-Ltd,I0003,ASARCO INC,AR.2
7475,3,31/03/1964,30/11/1999,S&P 500 Comp-Ltd,I0003,MOBIL CORP,MOB.2
5693,3,31/03/1964,1/12/1999,S&P 500 Comp-Ltd,I0003,HONEYWELL INC,HON.Z
3419,3,31/03/1964,30/01/2000,S&P 500 Comp-Ltd,I0003,CONSOLIDATED NATURAL GAS CO,D2
4864,3,31/03/1964,30/01/2000,S&P 500 Comp-Ltd,I0003,FOSTER WHEELER AG,FWLT
1848,3,31/03/1964,17/04/2000,S&P 500 Comp-Ltd,I0003,ATLANTIC RICHFIELD CO,ARC.3
9114,3,31/03/1964,4/05/2000,S&P 500 Comp-Ltd,I0003,REYNOLDS METALS CO,RLM.1
11436,3,31/03/1964,4/05/2000,S&P 500 Comp-Ltd,I0003,CBS CORP -OLD,CBS.2
7938,3,31/03/1964,4/06/2000,S&P 500 Comp-Ltd,I0003,NACCO INDUSTRIES  -CL A,NC
2847,3,31/03/1964,15/06/2000,S&P 500 Comp-Ltd,I0003,CENTRAL & SOUTH WEST CORP,CSR.1
11288,3,31/03/1964,20/06/2000,S&P 500 Comp-Ltd,I0003,WARNER-LAMBERT CO,WLA
3041,3,31/03/1964,28/06/2000,S&P 500 Comp-Ltd,I0003,MILACRON INC,MZIAQ
4961,3,31/03/1964,2/07/2000,S&P 500 Comp-Ltd,I0003,GTE CORP,GTE.1
5301,3,31/03/1964,29/08/2000,S&P 500 Comp-Ltd,I0003,GREAT ATLANTIC & PAC TEA CO,GAPTQ
8214,3,31/03/1964,1/10/2000,S&P 500 Comp-Ltd,I0003,OWENS CORNING,OC
2562,3,31/03/1964,2/10/2000,S&P 500 Comp-Ltd,I0003,BESTFOODS,BFO.2
3255,3,31/03/1964,22/10/2000,S&P 500 Comp-Ltd,I0003,UNICOM CORP,UCM.2
3206,3,31/03/1964,1/11/2000,S&P 500 Comp-Ltd,I0003,COLUMBIA ENERGY GROUP,NI2
1762,3,31/03/1964,16/11/2000,S&P 500 Comp-Ltd,I0003,ARMSTRONG HOLDINGS INC,3ACKH
2189,3,31/03/1964,10/12/2000,S&P 500 Comp-Ltd,I0003,BETHLEHEM STEEL CORP,3BHMSQ
3619,3,31/03/1964,10/12/2000,S&P 500 Comp-Ltd,I0003,CROWN HOLDINGS INC,CCK
5250,3,31/03/1964,10/12/2000,S&P 500 Comp-Ltd,I0003,GRACE (W R) & CO,GRA
9548,3,31/03/1964,10/12/2000,S&P 500 Comp-Ltd,I0003,SEAGRAM CO LTD,VO.3
8657,3,31/03/1964,11/12/2000,S&P 500 Comp-Ltd,I0003,PRIMARY PDC INC,PRDCQ
10857,3,31/03/1964,6/02/2001,S&P 500 Comp-Ltd,I0003,UNION CARBIDE CORP,DOW2
8852,3,31/03/1964,2/08/2001,S&P 500 Comp-Ltd,I0003,QUAKER OATS CO,OAT.
10581,3,31/03/1964,6/08/2001,S&P 500 Comp-Ltd,I0003,TIMKEN CO,TKR
8151,3,31/03/1964,29/08/2001,S&P 500 Comp-Ltd,I0003,ONEOK INC,OKE
10482,3,31/03/1964,9/10/2001,S&P 500 Comp-Ltd,I0003,TEXACO INC,TX.2
6127,3,31/03/1964,29/11/2001,S&P 500 Comp-Ltd,I0003,ENRON CORP,ENRNQ
5686,3,31/03/1964,16/12/2001,S&P 500 Comp-Ltd,I0003,HOMESTAKE MINING,HM
4510,3,31/03/1964,1/01/2002,S&P 500 Comp-Ltd,I0003,FMC CORP,FMC
6307,3,31/03/1964,16/01/2002,S&P 500 Comp-Ltd,I0003,SEARS HOLDINGS CORP,SHLDQ
7180,3,31/03/1964,29/01/2002,S&P 500 Comp-Ltd,I0003,MEAD CORP,MEA.1
7892,3,31/03/1964,31/01/2002,S&P 500 Comp-Ltd,I0003,NIAGARA MOHAWK HOLDINGS INC,NMK
1243,3,31/03/1964,21/07/2002,S&P 500 Comp-Ltd,I0003,ALCAN INC,AL.1
5905,3,31/03/1964,21/07/2002,S&P 500 Comp-Ltd,I0003,INCO LTD,INCLF
9267,3,31/03/1964,21/07/2002,S&P 500 Comp-Ltd,I0003,ROYAL DUTCH PETROLEUM NV,RDPL
10846,3,31/03/1964,21/07/2002,S&P 500 Comp-Ltd,I0003,UNILEVER NV,UN
10301,3,31/03/1964,11/12/2002,S&P 500 Comp-Ltd,I0003,TRW INC,TRW.1
1045,3,31/03/1964,13/03/2003,S&P 500 Comp-Ltd,I0003,AMERICAN AIRLINES GROUP INC,AAL
5735,3,31/03/1964,30/03/2003,S&P 500 Comp-Ltd,I0003,HSBC FINANCE CORP,HBC1
7536,3,31/03/1964,15/04/2003,S&P 500 Comp-Ltd,I0003,PHARMACIA CORP,PHA.1
11535,3,31/03/1964,2/12/2004,S&P 500 Comp-Ltd,I0003,WINN-DIXIE STORES INC,WINN
3580,3,31/03/1964,19/12/2004,S&P 500 Comp-Ltd,I0003,CRANE CO,CR
9563,3,31/03/1964,27/03/2005,S&P 500 Comp-Ltd,I0003,SEARS ROEBUCK & CO,S.1
11038,3,31/03/1964,10/08/2005,S&P 500 Comp-Ltd,I0003,UNOCAL CORP,UCL
7127,3,31/03/1964,28/08/2005,S&P 500 Comp-Ltd,I0003,MAY DEPARTMENT STORES CO,MAY.2
5169,3,31/03/1964,2/10/2005,S&P 500 Comp-Ltd,I0003,GILLETTE CO,G.1
1581,3,31/03/1964,20/11/2005,S&P 500 Comp-Ltd,I0003,AT&T CORP,T.2
5134,3,31/03/1964,19/12/2005,S&P 500 Comp-Ltd,I0003,GEORGIA-PACIFIC CORP,GP.1
3734,3,31/03/1964,2/03/2006,S&P 500 Comp-Ltd,I0003,DANA INC,DAN
7139,3,31/03/1964,2/04/2006,S&P 500 Comp-Ltd,I0003,MAYTAG CORP,MYG.1
6081,3,31/03/1964,19/12/2006,S&P 500 Comp-Ltd,I0003,NAVISTAR INTERNATIONAL CORP,NAV
8470,3,31/03/1964,21/02/2007,S&P 500 Comp-Ltd,I0003,PEOPLES ENERGY CORP,PGL.1
8536,3,31/03/1964,19/03/2007,S&P 500 Comp-Ltd,I0003,PHELPS DODGE CORP,PD.1
10507,3,31/03/1964,9/10/2007,S&P 500 Comp-Ltd,I0003,ENERGY FUTURE HOLDINGS CORP,0033A
11609,3,31/03/1964,6/10/2008,S&P 500 Comp-Ltd,I0003,WRIGLEY (WM) JR CO,WWY
2504,3,31/03/1964,10/11/2008,S&P 500 Comp-Ltd,I0003,UNISYS CORP,UIS
5589,3,31/03/1964,13/11/2008,S&P 500 Comp-Ltd,I0003,HERCULES INC,HPC
5073,3,31/03/1964,2/06/2009,S&P 500 Comp-Ltd,I0003,GENERAL MOTORS CO,GM
5959,3,31/03/1964,30/06/2009,S&P 500 Comp-Ltd,I0003,INGERSOLL-RAND PLC,IR
3497,3,31/03/1964,8/09/2009,S&P 500 Comp-Ltd,I0003,COOPER INDUSTRIES PLC,CBE
1478,3,31/03/1964,15/10/2009,S&P 500 Comp-Ltd,I0003,WYETH,WYE
9459,3,31/03/1964,3/11/2009,S&P 500 Comp-Ltd,I0003,SCHERING-PLOUGH,SGP
2490,3,31/03/1964,15/02/2010,S&P 500 Comp-Ltd,I0003,BURLINGTON NORTHERN SANTA FE,BRK3
4194,3,31/03/1964,19/12/2010,S&P 500 Comp-Ltd,I0003,EASTMAN KODAK CO,KODK
5860,3,31/03/1964,31/10/2011,S&P 500 Comp-Ltd,I0003,ITT INC,ITT
1995,3,31/03/1964,13/03/2012,S&P 500 Comp-Ltd,I0003,CONSTELLATION ENERGY GRP INC,CEG
5229,3,31/03/1964,30/07/2012,S&P 500 Comp-Ltd,I0003,GOODRICH CORP,GR
5568,3,31/03/1964,6/06/2013,S&P 500 Comp-Ltd,I0003,KRAFT HEINZ CO,HNZ
8446,3,31/03/1964,1/12/2013,S&P 500 Comp-Ltd,I0003,PENNEY (J C) CO,JCP
1408,3,31/03/1964,30/04/2014,S&P 500 Comp-Ltd,I0003,BEAM INC,BEAM
11446,3,31/03/1964,1/07/2015,S&P 500 Comp-Ltd,I0003,MEADWESTVACO CORP,MWV
1356,3,31/03/1964,31/10/2016,S&P 500 Comp-Ltd,I0003,ALCOA INC,AA.3
8606,3,31/03/1964,28/02/2017,S&P 500 Comp-Ltd,I0003,PITNEY BOWES INC,PBI
1976,3,31/03/1964,4/07/2017,S&P 500 Comp-Ltd,I0003,BAKER HUGHES INC,BHI
4087,3,31/03/1964,31/08/2017,S&P 500 Comp-Ltd,I0003,DU PONT (E I) DE NEMOURS,DD.2
8264,3,31/03/1964,17/01/2019,S&P 500 Comp-Ltd,I0003,PG&E CORP,PCG
5234,3,31/03/1964,26/02/2019,S&P 500 Comp-Ltd,I0003,GOODYEAR TIRE & RUBBER CO,GT
