gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,act,at,ebit,ebitda,epspi,epspx,lt,ni,niadj,nits,opiti,pstk,pstkl,pstkrv,spce,spceeps,txditc,upstk,exchg,costat,ein,fyrc,idbflag,incorp,loc,sic,spcindcd,spcseccd
1078,31/12/2017,2017,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,12,20147,76250,3996,7017,0.27,0.2,45152,477,470,,,0,0,0,,,2006,,11,A,36-0698440,12,B,IL,USA,2834,280,905
1078,31/12/2018,2018,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,12,14632,67173,4284,7562,1.34,1.32,36451,2368,2354,,,0,0,0,,,2056,,11,A,36-0698440,12,B,IL,USA,2834,280,905
1161,31/12/2013,2013,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,12,2884,4337,85,242,-0.11,-0.11,3793,-83,-83,,,0,0,0,,,0,,14,A,94-1692300,12,B,DE,USA,3674,235,940
1161,31/12/2014,2014,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,12,2736,3767,149,278,-0.53,-0.53,3580,-403,-403,,,0,0,0,,,0,,14,A,94-1692300,12,B,DE,USA,3674,235,940
1161,31/12/2015,2015,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,12,2320,3109,-319,-222,-0.84,-0.84,3521,-660,-660,,,0,0,0,,,0,,14,A,94-1692300,12,B,DE,USA,3674,235,940
1161,31/12/2016,2016,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,12,2530,3321,-130,-59,-0.6,-0.6,2905,-497,-497,,,0,0,0,,,11,,14,A,94-1692300,12,B,DE,USA,3674,235,940
1161,31/12/2017,2017,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,12,2622,3540,152,229,0.04,0.04,2929,43,43,,,0,0,0,,,11,,14,A,94-1692300,12,B,DE,USA,3674,235,940
1161,31/12/2018,2018,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,12,3540,4556,496,590,0.34,0.34,3290,337,337,,,0,0,0,,,11,,14,A,94-1692300,12,B,DE,USA,3674,235,940
1177,31/12/2013,2013,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,12,9718.9,49871.8,,,,,35793.6,,,1750.1,,0,,,,,,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2013,2013,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,12,9718.9,49871.8,3505.9,4075,5.38,5.38,35793.6,1913.6,1913.6,,,0,0,0,,,864.2,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2014,2014,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,12,11764,53402.1,,,,,38850.3,,,2126.6,,0,,,,,,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2014,2014,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,12,11764,53402.1,4219.7,4848.7,5.74,5.74,38850.3,2040.8,2040.8,,,0,0,0,,,867.5,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2015,2015,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,12,12738.5,53424.1,,,,,37245.5,,,2186.2,,0,,,,,,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2015,2015,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,12,12738.5,53424.1,4762.9,5434.2,6.84,6.84,37245.5,2390.2,2390.2,,,0,0,0,,,177.4,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2016,2016,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,12,28449,69146,,,,,51203,,,2229,,0,,,,,,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2016,2016,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,12,28449,69146,5229,5601,6.46,6.46,51203,2271,2271,,,0,0,0,,,4,,11,I,23-2229683,12,B,PA,USA,6324,287,905
