PERMNO,date,TICKER,COMNAM,CUSIP,PRC,SHROUT,MKT_CAP,
87432,31/01/2012,A,AGILENT TECHNOLOGIES INC,00846U10,42.47,348125,14784868750,
87432,29/02/2012,A,AGILENT TECHNOLOGIES INC,00846U10,43.62,347352,15151494240,
87432,30/03/2012,A,AGILENT TECHNOLOGIES INC,00846U10,44.51,347625,15472788750,
87432,30/04/2012,A,AGILENT TECHNOLOGIES INC,00846U10,42.18,347625,14662822500,
87432,31/05/2012,A,AGILENT TECHNOLOGIES INC,00846U10,40.66,347625,14134432500,
87432,29/06/2012,A,AGILENT TECHNOLOGIES INC,00846U10,39.24,347501,13635939240,
87432,31/07/2012,A,AGILENT TECHNOLOGIES INC,00846U10,38.29,347501,13305813290,
87432,31/08/2012,A,AGILENT TECHNOLOGIES INC,00846U10,37.16,347501,12913137160,
87432,28/09/2012,A,AGILENT TECHNOLOGIES INC,00846U10,38.45,348443,13397633350,
87432,31/10/2012,A,AGILENT TECHNOLOGIES INC,00846U10,35.99,348443,12540463570,
87432,30/11/2012,A,AGILENT TECHNOLOGIES INC,00846U10,38.29,348443,13341882470,
87432,31/12/2012,A,AGILENT TECHNOLOGIES INC,00846U10,40.94,347935,14244458900,
87432,31/01/2013,A,AGILENT TECHNOLOGIES INC,00846U10,44.78,347935,15580529300,
87432,28/02/2013,A,AGILENT TECHNOLOGIES INC,00846U10,41.48,346968,14392232640,
87432,28/03/2013,A,AGILENT TECHNOLOGIES INC,00846U10,41.97,347159,14570263230,
87432,30/04/2013,A,AGILENT TECHNOLOGIES INC,00846U10,41.44,347159,14386268960,
87432,31/05/2013,A,AGILENT TECHNOLOGIES INC,00846U10,45.45,347159,15778376550,
87432,28/06/2013,A,AGILENT TECHNOLOGIES INC,00846U10,42.76,344476,14729793760,
87432,31/07/2013,A,AGILENT TECHNOLOGIES INC,00846U10,44.73,344476,15408411480,
87432,30/08/2013,A,AGILENT TECHNOLOGIES INC,00846U10,46.64,344476,16066360640,
87432,30/09/2013,A,AGILENT TECHNOLOGIES INC,00846U10,51.25,330792,16953090000,
87432,31/10/2013,A,AGILENT TECHNOLOGIES INC,00846U10,50.76,330792,16791001920,
87432,29/11/2013,A,AGILENT TECHNOLOGIES INC,00846U10,53.57,330792,17720527440,
87432,31/12/2013,A,AGILENT TECHNOLOGIES INC,00846U10,57.19,331809,18976156710,
87432,31/01/2014,A,AGILENT TECHNOLOGIES INC,00846U10,58.15,331809,19294693350,
87432,28/02/2014,A,AGILENT TECHNOLOGIES INC,00846U10,56.93,333319,18975850670,
87432,31/03/2014,A,AGILENT TECHNOLOGIES INC,00846U10,55.92,333421,18644902320,
87432,30/04/2014,A,AGILENT TECHNOLOGIES INC,00846U10,54.04,333421,18018070840,
87432,30/05/2014,A,AGILENT TECHNOLOGIES INC,00846U10,56.94,333421,18984991740,
87432,30/06/2014,A,AGILENT TECHNOLOGIES INC,00846U10,57.44,333261,19142511840,
87432,31/07/2014,A,AGILENT TECHNOLOGIES INC,00846U10,56.09,333261,18692609490,
87432,29/08/2014,A,AGILENT TECHNOLOGIES INC,00846U10,57.16,333261,19049198760,
87432,30/09/2014,A,AGILENT TECHNOLOGIES INC,00846U10,56.98,333513,19003570740,
87432,31/10/2014,A,AGILENT TECHNOLOGIES INC,00846U10,55.28,333513,18436598640,
87432,28/11/2014,A,AGILENT TECHNOLOGIES INC,00846U10,42.74,333513,14254345620,
87432,31/12/2014,A,AGILENT TECHNOLOGIES INC,00846U10,40.94,335322,13728082680,
87432,30/01/2015,A,AGILENT TECHNOLOGIES INC,00846U10,37.77,335902,12687018540,
87432,27/02/2015,A,AGILENT TECHNOLOGIES INC,00846U10,42.21,336000,14182560000,
87432,31/03/2015,A,AGILENT TECHNOLOGIES INC,00846U10,41.55,335810,13952905500,
87432,30/04/2015,A,AGILENT TECHNOLOGIES INC,00846U10,41.37,335810,13892459700,
87432,29/05/2015,A,AGILENT TECHNOLOGIES INC,00846U10,41.19,335810,13832013900,
87432,30/06/2015,A,AGILENT TECHNOLOGIES INC,00846U10,38.58,333192,12854547360,
87432,31/07/2015,A,AGILENT TECHNOLOGIES INC,00846U10,40.95,333192,13644212400,
87432,31/08/2015,A,AGILENT TECHNOLOGIES INC,00846U10,36.31,333192,12098201520,
87432,30/09/2015,A,AGILENT TECHNOLOGIES INC,00846U10,34.33,331403,11377064990,
87432,30/10/2015,A,AGILENT TECHNOLOGIES INC,00846U10,37.76,331403,12513777280,
87432,30/11/2015,A,AGILENT TECHNOLOGIES INC,00846U10,41.82,331403,13859273460,
87432,31/12/2015,A,AGILENT TECHNOLOGIES INC,00846U10,41.81,332171,13888069510,
87432,29/01/2016,A,AGILENT TECHNOLOGIES INC,00846U10,37.65,327769,12340502850,
87432,29/02/2016,A,AGILENT TECHNOLOGIES INC,00846U10,37.35,327769,12242172150,
87432,31/03/2016,A,AGILENT TECHNOLOGIES INC,00846U10,39.85,327770,13061634500,
87432,29/04/2016,A,AGILENT TECHNOLOGIES INC,00846U10,40.92,327770,13412348400,
87432,31/05/2016,A,AGILENT TECHNOLOGIES INC,00846U10,45.89,327770,15041365300,
87432,30/06/2016,A,AGILENT TECHNOLOGIES INC,00846U10,44.36,325522,14440155920,
87432,29/07/2016,A,AGILENT TECHNOLOGIES INC,00846U10,48.11,325522,15660863420,
87432,31/08/2016,A,AGILENT TECHNOLOGIES INC,00846U10,46.98,325522,15293023560,
87432,30/09/2016,A,AGILENT TECHNOLOGIES INC,00846U10,47.09,324385,15275289650,
87432,31/10/2016,A,AGILENT TECHNOLOGIES INC,00846U10,43.57,324385,14133454450,
87432,30/11/2016,A,AGILENT TECHNOLOGIES INC,00846U10,43.98,324385,14266452300,
87432,30/12/2016,A,AGILENT TECHNOLOGIES INC,00846U10,45.56,321748,14658838880,
87432,31/01/2017,A,AGILENT TECHNOLOGIES INC,00846U10,48.97,321748,15755999560,
87432,28/02/2017,A,AGILENT TECHNOLOGIES INC,00846U10,51.3,322058,16521575400,
87432,31/03/2017,A,AGILENT TECHNOLOGIES INC,00846U10,52.87,322301,17040053870,
87432,28/04/2017,A,AGILENT TECHNOLOGIES INC,00846U10,55.05,322301,17742670050,
87432,31/05/2017,A,AGILENT TECHNOLOGIES INC,00846U10,60.34,322301,19447642340,
87432,30/06/2017,A,AGILENT TECHNOLOGIES INC,00846U10,59.31,321337,19058497470,
87432,31/07/2017,A,AGILENT TECHNOLOGIES INC,00846U10,59.79,321337,19212739230,
87432,31/08/2017,A,AGILENT TECHNOLOGIES INC,00846U10,64.72,321337,20796930640,
87432,29/09/2017,A,AGILENT TECHNOLOGIES INC,00846U10,64.2,321828,20661357600,
87432,31/10/2017,A,AGILENT TECHNOLOGIES INC,00846U10,68.03,321828,21893958840,
87432,30/11/2017,A,AGILENT TECHNOLOGIES INC,00846U10,69.24,321828,22283370720,
87432,29/12/2017,A,AGILENT TECHNOLOGIES INC,00846U10,66.97,323018,21632515460,
87432,31/01/2018,A,AGILENT TECHNOLOGIES INC,00846U10,73.43,323018,23719211740,
87432,28/02/2018,A,AGILENT TECHNOLOGIES INC,00846U10,68.59,322717,22135159030,
87432,29/03/2018,A,AGILENT TECHNOLOGIES INC,00846U10,66.9,322477,21573711300,
87432,30/04/2018,A,AGILENT TECHNOLOGIES INC,00846U10,65.74,322477,21199637980,
87432,31/05/2018,A,AGILENT TECHNOLOGIES INC,00846U10,61.92,319952,19811427840,
87432,29/06/2018,A,AGILENT TECHNOLOGIES INC,00846U10,61.84,319952,19785831680,
87432,31/07/2018,A,AGILENT TECHNOLOGIES INC,00846U10,66.04,319952,21129630080,
87432,31/08/2018,A,AGILENT TECHNOLOGIES INC,00846U10,67.54,318770,21529725800,
87432,28/09/2018,A,AGILENT TECHNOLOGIES INC,00846U10,70.54,318770,22486035800,
87432,31/10/2018,A,AGILENT TECHNOLOGIES INC,00846U10,64.79,318770,20653108300,
87432,30/11/2018,A,AGILENT TECHNOLOGIES INC,00846U10,72.35,318770,23063009500,
87432,31/12/2018,A,AGILENT TECHNOLOGIES INC,00846U10,67.46,318533,21488236180,
24643,31/01/2012,AA,ALCOA INC,03965L10,10.16,1064412,10814425920,
24643,29/02/2012,AA,ALCOA INC,03965L10,10.17,1066108,10842318360,
24643,30/03/2012,AA,ALCOA INC,03965L10,10.02,1066096,10682281920,
24643,30/04/2012,AA,ALCOA INC,03965L10,9.73,1066703,10379020190,
24643,31/05/2012,AA,ALCOA INC,03965L10,8.55,1066703,9120310650,
24643,29/06/2012,AA,ALCOA INC,03965L10,8.75,1066703,9333651250,
24643,31/07/2012,AA,ALCOA INC,03965L10,8.47,1066892,9036575240,
24643,31/08/2012,AA,ALCOA INC,03965L10,8.56,1066892,9132595520,
24643,28/09/2012,AA,ALCOA INC,03965L10,8.855,1066892,9447328660,
24643,31/10/2012,AA,ALCOA INC,03965L10,8.57,1067202,9145921140,
24643,30/11/2012,AA,ALCOA INC,03965L10,8.41,1067202,8975168820,
24643,31/12/2012,AA,ALCOA INC,03965L10,8.68,1067202,9263313360,
24643,31/01/2013,AA,ALCOA INC,03965L10,8.84,1067212,9434154080,
24643,28/02/2013,AA,ALCOA INC,03965L10,8.52,1069326,9110657520,
24643,28/03/2013,AA,ALCOA INC,03965L10,8.52,1069326,9110657520,
24643,30/04/2013,AA,ALCOA INC,03965L10,8.5,1069397,9089874500,
24643,31/05/2013,AA,ALCOA INC,03965L10,8.5,1069397,9089874500,
24643,28/06/2013,AA,ALCOA INC,03965L10,7.82,1069397,8362684540,
24643,31/07/2013,AA,ALCOA INC,03965L10,7.95,1069551,8502930450,
24643,30/08/2013,AA,ALCOA INC,03965L10,7.7,1069551,8235542700,
24643,30/09/2013,AA,ALCOA INC,03965L10,8.12,1069551,8684754120,
24643,31/10/2013,AA,ALCOA INC,03965L10,9.27,1069602,9915210540,
24643,29/11/2013,AA,ALCOA INC,03965L10,9.61,1069602,10278875220,
24643,31/12/2013,AA,ALCOA INC,03965L10,10.63,1069602,11369869260,
24643,31/01/2014,AA,ALCOA INC,03965L10,11.51,1071011,12327336610,
24643,28/02/2014,AA,ALCOA INC,03965L10,11.74,1077686,12652033640,
24643,31/03/2014,AA,ALCOA INC,03965L10,12.87,1077996,13873808520,
24643,30/04/2014,AA,ALCOA INC,03965L10,13.47,1172284,15790665480,
24643,30/05/2014,AA,ALCOA INC,03965L10,13.61,1172284,15954785240,
24643,30/06/2014,AA,ALCOA INC,03965L10,14.89,1173233,17469439370,
24643,31/07/2014,AA,ALCOA INC,03965L10,16.39,1176323,19279933970,
24643,29/08/2014,AA,ALCOA INC,03965L10,16.61,1176323,19538725030,
24643,30/09/2014,AA,ALCOA INC,03965L10,16.09,1177641,18948243690,
24643,31/10/2014,AA,ALCOA INC,03965L10,16.76,1178823,19757073480,
24643,28/11/2014,AA,ALCOA INC,03965L10,17.29,1178823,20381849670,
24643,31/12/2014,AA,ALCOA INC,03965L10,15.79,1178823,18613615170,
24643,30/01/2015,AA,ALCOA INC,03965L10,15.65,1216252,19034343800,
24643,27/02/2015,AA,ALCOA INC,03965L10,14.79,1222248,18077047920,
24643,31/03/2015,AA,ALCOA INC,03965L10,12.92,1222276,15791805920,
24643,30/04/2015,AA,ALCOA INC,03965L10,13.42,1222382,16404366440,
24643,29/05/2015,AA,ALCOA INC,03965L10,12.5,1222382,15279775000,
24643,30/06/2015,AA,ALCOA INC,03965L10,11.15,1222382,13629559300,
24643,31/07/2015,AA,ALCOA INC,03965L10,9.87,1309802,12927745740,
24643,31/08/2015,AA,ALCOA INC,03965L10,9.45,1309802,12377628900,
24643,30/09/2015,AA,ALCOA INC,03965L10,9.66,1309802,12652687320,
24643,30/10/2015,AA,ALCOA INC,03965L10,8.93,1310129,11699451970,
24643,30/11/2015,AA,ALCOA INC,03965L10,9.36,1310129,12262807440,
24643,31/12/2015,AA,ALCOA INC,03965L10,9.87,1310129,12930973230,
24643,29/01/2016,AA,ALCOA INC,03965L10,7.29,1310160,9551066400,
24643,29/02/2016,AA,ALCOA INC,03965L10,8.93,1314846,11741574780,
24643,31/03/2016,AA,ALCOA INC,03965L10,9.58,1314846,12596224680,
24643,29/04/2016,AA,ALCOA INC,03965L10,11.17,1314874,14687142580,
24643,31/05/2016,AA,ALCOA INC,03965L10,9.27,1315107,12191041890,
24643,30/06/2016,AA,ALCOA INC,03965L10,9.27,1315107,12191041890,
24643,29/07/2016,AA,ALCOA INC,03965L10,10.62,1315375,13969282500,
24643,31/08/2016,AA,ALCOA INC,03965L10,10.08,1315380,13259030400,
24643,30/09/2016,AA,ALCOA INC,03965L10,10.14,1315380,13337953200,
24643,31/10/2016,AA,ALCOA INC,03965L10,28.72,438000,12579360000,
16347,30/11/2016,AA,ALCOA CORP,1387210,28.97,182500,5287025000,
16347,30/12/2016,AA,ALCOA CORP,1387210,28.08,182869,5134961520,
16347,31/01/2017,AA,ALCOA CORP,1387210,36.45,182931,6667834950,
16347,28/02/2017,AA,ALCOA CORP,1387210,34.59,184006,6364767540,
16347,31/03/2017,AA,ALCOA CORP,1387210,34.4,184205,6336652000,
16347,28/04/2017,AA,ALCOA CORP,1387210,33.73,184229,6214044170,
16347,31/05/2017,AA,ALCOA CORP,1387210,32.94,184240,6068865600,
16347,30/06/2017,AA,ALCOA CORP,1387210,32.65,184240,6015436000,
16347,31/07/2017,AA,ALCOA CORP,1387210,36.4,184340,6709976000,
16347,31/08/2017,AA,ALCOA CORP,1387210,43.88,184340,8088839200,
16347,29/09/2017,AA,ALCOA CORP,1387210,46.62,184340,8593930800,
16347,31/10/2017,AA,ALCOA CORP,1387210,47.78,185023,8840398940,
16347,30/11/2017,AA,ALCOA CORP,1387210,41.51,185023,7680304730,
16347,29/12/2017,AA,ALCOA CORP,1387210,53.87,185023,9967189010,
16347,31/01/2018,AA,ALCOA CORP,1387210,52.02,185201,9634156020,
16347,28/02/2018,AA,ALCOA CORP,1387210,44.97,186176,8372334720,
