,Parameters,Parameter z-values,Marginal Effects,Marginal Effects z-values,Marginal Effects p-values,Significance,Pseudo-rsquared,Number of observations
const,-1.6259126949131548,-9.138988548918611,,,,,0.11830636138443362,1867
engaged_0year,0.04931493958750483,0.680325629821893,0.01801612345618832,0.6860572556579312,0.49267700390573654,,0.11830636138443362,1867
Multiple Engagements,0.1522279899436752,1.9165260516069016,0.05561313231350976,1.877056372899517,0.060510367951664215,*,0.11830636138443362,1867
portfolio_weight,62.32354135406984,6.030845711231532,22.76852865792169,5.849321487619585,4.935822835561775e-09,***,0.11830636138443362,1867
ownership_stake,5.271993204523641,1.9999463503352901,1.9260062209819593,1.9805336374551898,0.04764359749540873,**,0.11830636138443362,1867
excess_return,0.8169383142591419,0.5907382993982061,0.2984503610648701,0.5922079186098644,0.5537113675051712,,0.11830636138443362,1867
CBOARD,-0.24755206211412825,-2.341330527259853,-0.09043767568585176,-2.359929169826303,0.018278424626957522,**,0.11830636138443362,1867
DUALCLASS,-0.33683065671014734,-0.9180300872643501,-0.12305363741450426,-0.9175208481140344,0.3588697733193206,,0.11830636138443362,1867
FAIRPRICE,0.132816830188277,1.3769692352438534,0.048521694029163634,1.3666408528376968,0.1717379055241477,,0.11830636138443362,1867
GPARACHUTE,0.4465979540017154,5.561757651396157,0.1631546939300046,5.693724880393438,1.2429731540318305e-08,***,0.11830636138443362,1867
LSPMT,0.3851365547826237,5.169701133207085,0.14070112985016958,5.3162325611598655,1.0593773644238776e-07,***,0.11830636138443362,1867
PPILL,-0.045732141262177846,-0.2780883346046279,-0.01670722725784297,-0.2781768953698532,0.7808765699877547,,0.11830636138443362,1867
UNEQVOTE,0.14327449295497657,0.3995714741604431,0.052342170035906646,0.39943563003305105,0.6895722448942332,,0.11830636138443362,1867
majority_vote,0.8360984658960288,8.62581834559412,0.30545009907969484,8.500734513831365,1.8839479107051024e-17,***,0.11830636138443362,1867
Shareholder,-0.00021985671952195915,-0.002927149817959202,-8.031979425934032e-05,-0.0029270945956848126,0.9976645197491142,,0.11830636138443362,1867
